device_id,alquilado,alquiler_a,n_de_control,numero_serie
28561,False,,,MG 4202
21581,True,MEDICINA CATAN S.A.,MG 5260,MG 5260
25496,True,MEDICINA CATAN S.A.,MG 2688,MG 2688
28152,False,,,MG 2686
28164,False,,,MG 3011
27504,False,,,MG 2914
28622,False,,MG 2910,G3GL70097
25483,False,,,MG 3089
25157,False,,,MG 3086
28621,False,,MG 3168,MG 3168
28262,False,,,MG 3221
25715,False,,,MG 3217
28603,False,,MG 3216,MG 3216
28255,False,,,G3GM90018
27114,False,,,MG 2912
27130,False,,,MG 3012
27117,False,,,MG 3220
26995,False,,,MG 3222
28603,True,MEDICINA CATAN S.A.,MG 3216,MG 3216
27470,True,MERNO S A,MG 7206,MG 7206
25718,False,,,MG 6633
26874,False,,,MG 7311
26189,False,,,MG 0268
25364,False,,,MG 4161
23928,True,1170 COCUZZA S.R.L.,MG 7107,E2117A01046
18989,True,1170 COCUZZA S.R.L.,MG 3861,MG 3861
24661,True,1170 COCUZZA S.R.L.,MG 4693,MG 4693
27765,True,1170 COCUZZA S.R.L.,MG 4694,MG 4694
27755,True,1170 COCUZZA S.R.L.,MG 4308,MG 4308
27759,True,1170 COCUZZA S.R.L.,MG 4643,MG 4643
27760,True,1170 COCUZZA S.R.L.,MG 4647,MG 4647
25833,True,1170 COCUZZA S.R.L.,MG 4356,MG 4356
26825,False,,,MG 5442
27770,True,1170 COCUZZA S.R.L.,MG 5458,MG 5458
27773,True,1170 COCUZZA S.R.L.,MG 6164,MG 6164
27776,True,1170 COCUZZA S.R.L.,MG 6270,MG 6270
28638,False,,MG 6269,E2120301121
27777,True,1170 COCUZZA S.R.L.,MG 6284,MG 6284
27771,True,1170 COCUZZA S.R.L.,MG 5554,MG 5554
27778,True,1170 COCUZZA S.R.L.,MG 6395,MG 6395
23742,True,1170 COCUZZA S.R.L.,MG 7094,E2121907534
25016,False,,,E2122603400
25852,True,1170 COCUZZA S.R.L.,MG 5392,MG 5392
25837,True,1170 COCUZZA S.R.L.,MG 7071,MG 7071
25384,True,1170 COCUZZA S.R.L.,MG 6939,MG 6939
26700,True,1170 COCUZZA S.R.L.,MG 4245,C3122604245
24537,True,1170 COCUZZA S.R.L.,MG 7139,CSX1965K095
