device_id,alquilado,alquiler_a,n_de_control,numero_serie
28561,True,QUALIMED SA,MG 4202,MG 4202
21581,True,MEDICINA CATAN S.A.,MG 5260,MG 5260
25496,True,MEDICINA CATAN S.A.,MG 2688,MG 2688
28152,True,MEDICINA CATAN S.A.,MG 2686,MG 2686
28164,True,SANATORIO PRIVADO MARIANO ACOSTA S A,MG 3011,MG 3011
27504,True,VITAL LIFE SOCIEDAD ANONIMA,MG 2914,MG 2914
28622,True,MEDICINA CATAN S.A.,MG 2910,G3GL70097
25483,True,MEDICINA CATAN S.A.,MG 3089,MG 3089
25157,True,MEDICINA CATAN S.A.,MG 3086,MG 3086
28621,True,MEDICINA CATAN S.A.,MG 3168,MG 3168
28262,True,SANATORIO PRIVADO MARIANO ACOSTA S A,MG 3221,MG 3221
25715,True,MEDICINA CATAN S.A.,MG 3217,MG 3217
28603,True,CENTRO MEDICO AMENABAR SRL,MG 3216,MG 3216
28255,True,MEDICINA CATAN S.A.,MG 0018,G3GM90018
27114,True,SICOMED S.A.,MG 2912,MG 2912
27130,True,CENTRO MEDICO AMENABAR SRL,MG 3012,MG 3012
27117,True,SANATORIO PRIVADO MARIANO ACOSTA S A,MG 3220,MG 3220
26995,True,GRIFFO DAMIAN EZEQUIEL,MG 3222,MG 3222
28603,True,MEDICINA CATAN S.A.,MG 3216,MG 3216
27470,True,MERNO S A,MG 7206,MG 7206
25718,True,RSC S.A.,MG 6633,MG 6633
26874,True,ARIEL YACOBONE,MG 7311,MG 7311
26189,True,RESPIRAR S.A.,MG 0268,MG 0268
25364,True,1170 COCUZZA S.R.L.,MG 4161,MG 4161
23928,True,1170 COCUZZA S.R.L.,MG 7107,E2117A01046
18989,True,1170 COCUZZA S.R.L.,MG 3861,MG 3861
24661,True,1170 COCUZZA S.R.L.,MG 4693,MG 4693
27765,True,1170 COCUZZA S.R.L.,MG 4694,MG 4694
27755,True,1170 COCUZZA S.R.L.,MG 4308,MG 4308
27759,True,1170 COCUZZA S.R.L.,MG 4643,MG 4643
27760,True,1170 COCUZZA S.R.L.,MG 4647,MG 4647
25833,True,1170 COCUZZA S.R.L.,MG 4356,MG 4356
26825,True,1170 COCUZZA S.R.L.,MG 5442,MG 5442
27770,True,1170 COCUZZA S.R.L.,MG 5458,MG 5458
27773,True,1170 COCUZZA S.R.L.,MG 6164,MG 6164
27776,True,1170 COCUZZA S.R.L.,MG 6270,MG 6270
28638,True,PERELETEGUI ADRIAN MATIAS,MG 6269,E2120301121
27777,True,1170 COCUZZA S.R.L.,MG 6284,MG 6284
27771,True,1170 COCUZZA S.R.L.,MG 5554,MG 5554
27778,True,1170 COCUZZA S.R.L.,MG 6395,MG 6395
23742,True,1170 COCUZZA S.R.L.,MG 7094,E2121907534
25016,True,1170 COCUZZA S.R.L.,MG 7247,E2122603400
25852,True,1170 COCUZZA S.R.L.,MG 5392,MG 5392
25837,True,1170 COCUZZA S.R.L.,MG 7071,MG 7071
25384,True,1170 COCUZZA S.R.L.,MG 6939,MG 6939
26700,True,1170 COCUZZA S.R.L.,MG 4245,C3122604245
24537,True,1170 COCUZZA S.R.L.,MG 7139,CSX1965K095
24540,True,1170 COCUZZA S.R.L.,MG 7187,CSX1965K190
26116,True,LANCET CORP. ARGENTINA S.R.L.,MG 6661,MG 6661
23100,True,1170 COCUZZA S.R.L.,MG 6644,MG 6644
23101,True,1170 COCUZZA S.R.L.,MG 6640,MG 6640
23102,True,1170 COCUZZA S.R.L.,MG 6637,MG 6637
24336,True,1170 COCUZZA S.R.L.,MG 2065,MG 2065
23196,True,1170 COCUZZA S.R.L.,MG 1959,MG 1959
25975,True,1170 COCUZZA S.R.L.,MG 1895,MG 1895
27678,True,1170 COCUZZA S.R.L.,MG 2384,MG 2384
23877,True,1170 COCUZZA S.R.L.,MG 2410,MG 2410
23092,True,1170 COCUZZA S.R.L.,MG 2341,MG 2341
25764,True,1170 COCUZZA S.R.L.,MG 2673,MG 2673
27124,True,1170 COCUZZA S.R.L.,MG 4548,MG 4548
26465,True,1170 COCUZZA S.R.L.,MG 6831,MG 6831
28437,True,JORGE AGUSTIN,MG 7323,MG 7323
27124,True,1170 COCUZZA S.R.L.,MG 4548,MG 4548
24099,True,1170 COCUZZA S.R.L.,MG 4049,MG 4049
25872,True,1170 COCUZZA S.R.L.,MG 6749,MG 6749
26055,True,JORGE AGUSTIN,MG 7093,MG 7093
27982,True,JORGE AGUSTIN,MG 6695,MG 6695
27149,True,CLINICA BASILEA SA,MG 7290,MG 7290
25673,True,1170 COCUZZA S.R.L.,MG 7238,B3C23204101
23389,True,1170 COCUZZA S.R.L.,MG 1703,MG 1703
23858,True,1170 COCUZZA S.R.L.,MG 3642,MG 3642
25307,True,1170 COCUZZA S.R.L.,MG 4045,MG 4045
27800,True,1170 COCUZZA S.R.L.,MG 4487,MG 4487
