id,customer_id,marca_id,model_id,numero_serie,numero_interno,tipo_equipo,variante,garantia_vence,propietario,n_de_control,alquilado,alquiler_a
27241,2,133,713,00006,,ASPIRADOR A BATERAS,,,,,False,
19928,2,133,713,00006,,ASPIRADOR A BATERAS,,,,,False,
23309,2,133,713,00006,,ASPIRADOR A BATERAS,,,,,False,
25682,2,133,1011,00032,,ASPIRADOR A BATERAS,,,,,False,
19930,2,133,713,00032,,ASPIRADOR A BATERAS,,,,,False,
23535,2,133,713,00032,,ASPIRADOR A BATERAS,,,,,False,
22930,2,133,1011,00033,,ASPIRADOR A BATERAS,,,,,False,
25684,2,133,1011,00033,,ASPIRADOR A BATERAS,,,,,False,
23310,2,133,713,00033,,ASPIRADOR A BATERAS,,,,,False,
26443,2,133,713,00033,,ASPIRADOR A BATERAS,,,,,False,
19931,2,133,713,00048,,ASPIRADOR A BATERAS,,,,,False,
17906,2,133,713,00048,,ASPIRADOR A BATERAS,,,,,False,
26581,2,133,713,00082,,ASPIRADOR A BATERAS,,,,,False,
18288,2,133,713,00082,,ASPIRADOR A BATERAS,,,,,False,
19929,2,133,713,00082,,ASPIRADOR A BATERAS,,,,,False,
25943,2,133,713,00082,,ASPIRADOR A BATERAS,,,,,False,
25683,2,133,1011,00085,,ASPIRADOR A BATERAS,,,,,False,
19932,2,133,713,00085,,ASPIRADOR A BATERAS,,,,,False,
23536,2,133,713,00085,,ASPIRADOR A BATERAS,,,,,False,
25685,2,133,1011,00093,,ASPIRADOR A BATERAS,,,,,False,
23308,2,133,713,00093,,ASPIRADOR A BATERAS,,,,,False,
15656,2,133,713,00096,,ASPIRADOR A BATERAS,,,,,False,
19927,2,133,713,00096,,ASPIRADOR A BATERAS,,,,,False,
18489,2,133,713,00102,,ASPIRADOR A BATERAS,,,,,False,
23312,2,133,713,00102,,ASPIRADOR A BATERAS,,,,,False,
25947,2,133,713,00102,,ASPIRADOR A BATERAS,,,,,False,
15657,2,133,713,00112,,ASPIRADOR A BATERAS,,,,,False,
17175,2,133,713,00112,,ASPIRADOR A BATERAS,,,,,False,
