ns_norm,device_ids,marca_ids,model_ids,customer_ids,nota
00032,"19930,23535,25682",133,"713,1011",2,modelos_distintos
00033,"22930,23310,25684,26443",133,"713,1011",2,modelos_distintos
00085,"19932,23536,25683",133,"713,1011",2,modelos_distintos
00093,"23308,25685",133,"713,1011",2,modelos_distintos
00129,"17499,18240,19934",133,"713,1289",2,modelos_distintos
00220,"18289,23305,25942",133,"713,1011",2,modelos_distintos
013,"15538,26605","133,226","1165,1190","122,132",marcas_distintas;modelos_distintos;clientes_distintos
018205090193,"17615,18257",226,"1165,1263",213,modelos_distintos
048014,"24163,24696,25341,27401","93,653,None","1377,1442,None",213,marcas_distintas;modelos_distintos
050470,"18558,19862,21944,24147,25633","93,653","1377,1442,None",213,marcas_distintas;modelos_distintos
070030126,"16870,17740",169,"1250,1580",45,modelos_distintos
077B03378,"24581,24934",679,"1456,1473",138,modelos_distintos
080424003952,"20262,23128",597,"1572,1651",213,modelos_distintos
080905013268,"22704,22943,24718",597,"1052,1651",213,modelos_distintos
10312,"16440,20152",226,"1165,1263",140,modelos_distintos
1055415A,"18847,22204",301,1594,"109,124",clientes_distintos
1181,"16733,22236",599,"860,1265",82,modelos_distintos
11887,"15864,16071","226,None","1171,None","138,193",clientes_distintos
2002050022,"22482,23607,28562",593,"1143,None","85,138",clientes_distintos
20050146026,"17206,19468,20769",599,"1378,1587",138,modelos_distintos
2006233,"25224,26585",282,983,"85,138",clientes_distintos
20091082226,"16734,18267",599,"1311,1579",82,modelos_distintos
201040031083A1V,"24398,25558,27891,27913",230,"911,1017","9,112",modelos_distintos;clientes_distintos
21083306,"22739,24197",171,862,"138,211",clientes_distintos
2299,"17497,20031,25813","44,605","1172,1503",119,marcas_distintas;modelos_distintos
2464,"23703,25860","124,323","1027,1504",140,marcas_distintas;modelos_distintos
2816,"23680,25861","124,323","1027,1504",140,marcas_distintas;modelos_distintos
3103,"20858,23682","223,323","581,1027","140,163",marcas_distintas;modelos_distintos;clientes_distintos
31908T/05,"18529,19794,20072,20632",289,"1146,1252",138,modelos_distintos
4004368,"17365,17834",336,"298,1281",45,modelos_distintos
403415,"17096,21288,23136,24152","90,668","1397,1428,1548",138,marcas_distintas;modelos_distintos
40966I0624,"24851,26110",596,"1464,1470",17,modelos_distintos
40966J2216,"24854,25692,25823",596,"1464,1470",17,modelos_distintos
40966K1572,"23441,24577",596,"1464,1470",72,modelos_distintos
432432,"18671,21132",282,"983,1153",140,modelos_distintos
48033,"23519,24694,25342","93,653,None","1442,None",213,marcas_distintas
493007,"19182,19624",19,"31,1295",213,modelos_distintos
5144335,"17438,19166",7,5,"67,129",clientes_distintos
51716R/05,"17352,19657",289,209,"69,171",clientes_distintos
53637,"23719,24308,25635","93,653","1377,1442",213,marcas_distintas;modelos_distintos
54155,"23720,24165,25636","93,653","1377,1442",213,marcas_distintas;modelos_distintos
56135,"17726,24697,25343","93,653,None","1377,1442,None",213,marcas_distintas;modelos_distintos
56142,"23721,24309,27402","93,653","1377,1442",213,marcas_distintas;modelos_distintos
59809,"20080,20939",194,"1081,1667",140,modelos_distintos
60,"17311,20946",133,"713,1011",2,modelos_distintos
6001550,"17762,19275,21837","282,599","1153,1650",118,marcas_distintas;modelos_distintos
6017153,"15203,16421,22024","282,599","1153,1650","67,129",marcas_distintas;modelos_distintos;clientes_distintos
79379R/08,"18205,18617,19658",289,209,"1,171",clientes_distintos
80320R/08,"17357,19001",289,209,"69,171",clientes_distintos
873303,"16678,16730",7,5,"55,138",clientes_distintos
93,"22006,23950,28401","7,133","5,713,None","2,152",marcas_distintas;modelos_distintos;clientes_distintos
