"Equipo_NS","MG","Ref_canister","Fecha_Tanda","Archivo"
"N5140931","MG 1716","CAN0022/23","2025-10-22","PEDIDOSARMIENTO-537.xlsx"
"N5151340","MG 2160","CAN0020/21","2025-10-22","PEDIDOSARMIENTO-537.xlsx"
"N5143493","MG 1812","CAN0018/19","2025-10-22","PEDIDOSARMIENTO-537.xlsx"
"N5147756","MG 1938","CAN0014/15","2025-10-22","PEDIDOSARMIENTO-537.xlsx"
"N5158407","MG 2230","CAN0012/13","2025-10-22","PEDIDOSARMIENTO-537.xlsx"
"N5132354","MG 0642","CAN0006/07","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"N5159263","MG 7436","A0003/04","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"N5157575","NM 0233","A0011/12","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"N5158488","MG 2232","A0017/18","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"N5134710","MG 1733","A0009/10","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"N5158513","MG 2379","A0019/20","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"802472","MG 7213","F9934/35","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"N5136295","MG 1490","F9928/29","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"N5158062","MG 2245","G0136/37","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"N5157953","MG 2304","G0138/39","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"N5158514","MG 2401","A0013/14","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"N5161416","MG 2398","A0015/16","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"N5144924","MG 2021","A0007/08","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"N5158373","MG 2231","A0005/06","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"BUB0115370056","","-","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"5147762","","-","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"N5147744","","-","2025-10-17","PEDIDOSARMIENTO-533.xlsx"
"93","","-","2025-09-17","PEDIDOSARMIENTO-522.xlsx"
"BUB0115490288","","-","2025-09-17","PEDIDOSARMIENTO-522.xlsx"
"N5136792","","-","2025-09-17","PEDIDOSARMIENTO-522.xlsx"
"N5136761","","-","2025-09-17","PEDIDOSARMIENTO-522.xlsx"
"805446","","-","2025-09-17","PEDIDOSARMIENTO-522.xlsx"
