codigo,nombre,costo_neto,precio_venta,marca_fabricante
1201198,Instalación y config. de central de monitoreo,0.00,,""
1201199,Soporte de Monitor giro 180 grados,0.00,,""
1203007,Rollo tubuladura 22mm x 50 mts,91672275.00,,""
1203008,Rollo tubuladura T-63 x 50 mts,20122650.00,,""
1204001,Jarra para aspirador a batería BEMIS 800 c.c.,4980930.60,,""
1204002,Tapa de jarra p/aspirador a batería BEMIS 800 c.c.,0.00,,""
1204003,Jarra de vidrio para aspirador SILFAB,0.00,,""
1204004,Jarra para aspirador a batería KONSUNG,0.00,,""
1204005,Tapa de jarra vidrio p/aspirador SILFAB,0.00,,""
1205001,Cámara p/calentador BMC GII H-60 Genérico,65475.00,66150.00,""
1205003,Cámara p/calentador BMC GI Genérico,0.00,,""
1205004,Cámara p/calentador BMC G2S Genérico,0.00,,""
1205005,Cámara p/calentador BMC G3 Original,7275.00,25725.00,""
1205006,Cámara humidificadora GALEMED c/flotante,0.00,,""
1205007,Cámara humidificadora c/flotante y guía BESMED,10484278.95,,""
1205008,Accesorio de encastre humidificador CRAMI,6693000.00,,""
1205011,Cámara humidificadora p/CPAP YAMIND DM26,0.00,,""
1205012,Cámara humidificadora p/CPAP YAMIND DM28,0.00,,""
1205013,Cámara p/calentador BMC GII H-60 Original,23280.00,77616.00,""
1205014,Cámara p/calentador BMC G2S Original,30620475.00,,""
1205015,Cámara p/calentador BMC G3 Genérico,0.00,,""
1205017,Cámara para Calentador Humidificador RH-800,0.00,,""
1207001,Adaptador plastico p/camara BMC H-80,3947415.00,,""
1208001,Filtro aspirador generico FA550,2757661.50,,""
1208002,FILTRO EXTERNO LONGFIAN JAY-5Q/KONSUNG,0.00,,""
1208004,Filtro de aire Auto CPAP BMC MINI Genérico,55290.00,67032.00,""
1208005,Filtro original externo p/Stellar 150 ref. 24934,0.00,,""
1208006,Filtro externo para OXYMAG,0.00,,""
1208007,Filtro de aire CPAP/BPAP GII/G2S Genérico,48015.00,58212.00,""
1208008,Filtro de aire interno EVERFLO original 1038831,58927.50,,""
1208009,Filtro p/ aspirador SILFAB FI13,4365.00,5953.50,""
1208010,Filtro de aire CPAP/BPAP GI BMC Genérico,1455.00,5145.00,""
1208011,Filtro de aire CPAP/BPAP G3 Genérico,61110.00,74088.00,""
1208012,Filtro de aire externo AIRSEP NEW LIFE,4365.00,5292.00,""
1208013,Filtro de aire externo longfian JAY-5/JAY-10,2058825.00,,""
1208015,Filtro de aire externo PB560 10028771,0.00,,""
1208016,Filtro de aire interno AIRSEP NEW LIFE,7275.00,8820.00,""
1208017,Filtro de aire interno para JAY-5/5Q/10 Longfian,0.00,,""
1208018,Filtro interno respirador ASTRAL 27939,7275.00,,""
1208036,FILTRO CONCENTRADOR EVERFLOW GENÉRICO,4365.00,,""
1208039,Filtro externo p/CPAP DM26 YAMIND,48015.00,,""
1208040,Filtro externo p/CPAP DM28 YAMIND,55290.00,,""
1208041,Filtro genérico externo p/RESMED Stellar 150,61110.00,,""
1208043,Conjunto de filtro compatible c/conc. G4 SP-704,152775.00,154350.00,""
1208044,Filtro de entrada p/Inogen At Home SP-623,109125.00,110250.00,""
1208045,Filtros de partíc. rígid. Inogen One G3 (par) 301,123675.00,124950.00,""
1208046,Filtro p/conc. portátil LONGFIAN JAY-10D,5820.00,7056.00,""
1208047,Filtro de aire CPAP/BPAP GII/G2S BMC Original,1455.00,5145.00,""
1208048,Filtro de aire CPAP/BPAP G3 BMC Original,7275.00,,""
1208049,Filtro de aire Auto CPAP BMC MINI,1455.00,5145.00,""
1208051,Filtro covidien 351/5878,0.00,,""
1209001,Kit respiratorio BMC POLYWATCH,72750.00,257250.00,""
1209002,KIT FIO2 Covidien,0.00,,""
1209003,Kit de oximetria SPO2 modelo G3,51034125.00,,""
1209004,Kit de oximetria SPO2 modelo GII y G2S,0.00,,""
1209005,Wifi KIT Modelo p/bpap de titulación WL-100,0.00,,""
1209006,"Kit enriquecedor de oxi - conector en ""T"" DCD002",0.00,,""
1210001,Módulo de oximetria p/GII y G2S,0.00,,""
1210002,Módulo de oximetria p/G3,0.00,,""
1211001,Banda torácica BMC,142895550.00,,""
1212001,Sensor de saturación p/poligráfo medium,0.00,,""
1212002,Sensor de saturación p/poligráfo large,0.00,,""
1212003,Sensor de saturación BMC Medical p/G3,3346.50,4057.20,""
1212004,Sensor de sat. c/broche NELLCOR neonatal 315N,0.00,,""
1212005,Sensor de sat. c/broche NELLCOR pediátrico 315P,0.00,,""
1212006,"Sensor de sat. Y"" para NELLCOR SENY""",0.00,,""
1212008,Sensor de sat. reusable adul. NELLCOR DS100A-1,72.75,,""
