os,fecha_ingreso,fecha_entrega,cliente,marca,modelo,variante,tipo_equipo,descripcion_problema,trabajos_realizados,repuestos_presupuesto
28815,2025-12-05 00:00:00,,DOMICILIO SALUD,Nellcor,N-560,"",oxímetro de pulso,bateria obsoleta - carcaza de frente e inferior rota,cambio de bateria 12v 1.3a - cambio de carcaza de frente e inferior,""
28816,2025-12-05 00:00:00,,PRAXAIR ARG.,Nellcor,N-560,"",oxímetro de pulso,error 526(falla en modulo SPo2) - bateria obsoleta - carcaza inferior rota,cambio de modulo spo2 y bateria 12v 1.3a - cambio de carcaza inferior,""
28817,2025-12-05 00:00:00,,PRAXAIR ARG.,Nellcor,N-560,"",oxímetro de pulso,bateria obsoleta,CAMBIO DE BATERIA 12V 1.3A - CONTROL DE FUNCIONAMIENTO OK,""
28819,2025-12-05 00:00:00,,PRAXAIR ARG.,Nellcor,N-560,"",oxímetro de pulso,bateria obsoleta,cambio de bateria 12v 1.3a - control de funcionamiento ok ,""
28820,2025-12-05 00:00:00,,PRAXAIR ARG.,Nellcor,N-560,"",oxímetro de pulso,BATERIA OBSOLETA,CAMBIO DE BATERIA 12V 1.3A - CONTROL OK,""
28862,2025-12-09 00:00:00,2025-12-18 07:06:00,OXICASTHOMECARE,Longfian,JAY-5Q,"",CONCENTRADOR DE OXÍGENO,"zeolita degradada
pila alarma degradada","cambio de zeolita - cambio de pila alarma - cambio de filtros - corrección de tecla ON/OFF - control y limpieza del equipo

Se BONIFICA el cambio de zeolitas por posible falla de fábrica.",""
28871,2025-12-11 00:00:00,2025-12-30 13:47:00,SOENSA,Movi-vac,A-550,"",ASPIRADOR A BATERÍAS,PULSADOR DE ENCENDIDO DESARMADO,"REPARACION DE LLAVE DE ENCENDIDO (REARMADO MONTAJE DE LLAVE ENCENDIDO) DESMONTAJE TOTAL DE MOTOR BATERIAS Y PLACA ELECTRONICA LIMPIEZA INTERIOR MONTAJE DE BATERIAS , LIMPIEZA MOTOR Y LUBRICACION CON GRASA EN AEROSOL CONTROL DE FUNCIONAMIENTO PLACA ELECTRONICA",""
28882,2025-12-09 00:00:00,,DOMICILIO SALUD,Kangaroo,224,"",BOMBA DE ALIMENTACIÓN,NO FUNCIONA A BATERIA,"CONTROL DE FUNCIONAMIENTO, CAMBIO DE BATERIAS LOTE 9868 ",""
28894,2025-12-18 00:00:00,2026-01-20 07:11:00,PANAS,Movi-vac,A-550,"",ASPIRADOR A BATERÍAS,"NOCARGA BATERIA, SOPORTE MANIJA ROTO","REPARATO GABINETE SOPORTE DE MANIJA, CAMBIO DE FUJSE BATERIA",""
28895,2025-12-18 00:00:00,2026-01-20 07:10:00,PANAS,Movi-vac,A-550,"",ASPIRADOR A BATERÍAS,equipo no funcionaba correctamente a baterias - baterias descargadas -,se cargaron las baterias hasta que lleguen a la tensión normal de las mismas (estaban muy descargadas) - control de funcionamiento de baterias ok - control de carga ok - aspiracion maxima 550mmHg,""
