"os","marca","modelo","variante","repuestos_presupuesto_actual","propuesta_repuestos","estado_propuesta","nota","trabajos_realizados"
"28815","Nellcor","N-560","","","ME-087 x1","aplicable_sugerido","Batería 12V 1.3A detectada","cambio de bateria 12v 1.3a - cambio de carcaza de frente e inferior"
"28817","Nellcor","N-560","","","ME-087 x1","aplicable_sugerido","Batería 12V 1.3A detectada","CAMBIO DE BATERIA 12V 1.3A - CONTROL DE FUNCIONAMIENTO OK"
"28819","Nellcor","N-560","","","ME-087 x1","aplicable_sugerido","Batería 12V 1.3A detectada","cambio de bateria 12v 1.3a - control de funcionamiento ok "
"28820","Nellcor","N-560","","","ME-087 x1","aplicable_sugerido","Batería 12V 1.3A detectada","CAMBIO DE BATERIA 12V 1.3A - CONTROL OK"
"28862","Longfian","JAY-5Q","","","","sin_cambio","pila alarma no importa (confirmado)","cambio de zeolita - cambio de pila alarma - cambio de filtros - corrección de tecla ON/OFF - control y limpieza del equipo

Se BONIFICA el cambio de zeolitas por posible falla de fábrica."
"28882","Kangaroo","224","","","ME073 x1","aplicado","confirmado por usuario","CONTROL DE FUNCIONAMIENTO, CAMBIO DE BATERIAS LOTE 9868 "
"28894","Movi-vac","A-550","","","","revisar","Sin regla automática confiable","REPARATO GABINETE SOPORTE DE MANIJA, CAMBIO DE FUJSE BATERIA"
"28895","Movi-vac","A-550","","","","sin_cambio","No indica reemplazo de batería","se cargaron las baterias hasta que lleguen a la tensión normal de las mismas (estaban muy descargadas) - control de funcionamiento de baterias ok - control de carga ok - aspiracion maxima 550mmHg"
"28897","Movi-vac","A-550","","","ME-031 x1 (fusible/porta fusible)","aplicable_sugerido","Regla Movi-vac inferida por texto","CAMBIO DE MINIFUSE 3 AMP, DESARME LIMPIEZA Y LUBRICACION MOTOR."
"28899","Inogen","ONE","G2","Cambio de ceolitas x1.00","","revisar","Sin regla automática confiable","Se cambia canister de ceolitas (HF-COLC-244727324)
Se cambian Filtros
Limpieza general del equipo"
"28903","Nellcor","N-560","","","ME-087 x1","aplicable_sugerido","Batería 12V 1.3A detectada","CAMBIO DE BATERIA 12V 1.3 A - CONTROL DE FUNCIONAMIENTO OK"
"28918","BMC","PolyWatch YH-600B","PRO","CAble x1.00 || Canula x1.00","ME-075 x1","aplicado","confirmado por usuario","cambio de cable de kit de respiración - cambio de pila interna de 3v - actualización de software para corrección de año y artificio - colocación de conector plástico de cánula nasal del kit de respiración - control de funcionamiento ok - reparación de carcaza - incorporación de varilla de tapa de pila y micro sd"
