"os","marca","modelo","variante","repuestos_presupuesto_actual","propuesta_repuestos","estado_propuesta","nota","trabajos_realizados"
"28815","Nellcor","N-560","","","ME-087 x1","aplicable_sugerido","Batería 12V 1.3A detectada","cambio de bateria 12v 1.3a - cambio de carcaza de frente e inferior"
"28816","Nellcor","N-560","","","","sin_cambio","Regla usuario previa (no cargar / usado / sin repuesto)","cambio de modulo spo2 y bateria 12v 1.3a - cambio de carcaza inferior"
"28817","Nellcor","N-560","","","ME-087 x1","aplicable_sugerido","Batería 12V 1.3A detectada","CAMBIO DE BATERIA 12V 1.3A - CONTROL DE FUNCIONAMIENTO OK"
"28819","Nellcor","N-560","","","ME-087 x1","aplicable_sugerido","Batería 12V 1.3A detectada","cambio de bateria 12v 1.3a - control de funcionamiento ok "
"28820","Nellcor","N-560","","","ME-087 x1","aplicable_sugerido","Batería 12V 1.3A detectada","CAMBIO DE BATERIA 12V 1.3A - CONTROL OK"
"28862","Longfian","JAY-5Q","","","","revisar","Pila específica sin código confirmado","cambio de zeolita - cambio de pila alarma - cambio de filtros - corrección de tecla ON/OFF - control y limpieza del equipo

Se BONIFICA el cambio de zeolitas por posible falla de fábrica."
"28871","Movi-vac","A-550","","","","sin_cambio","Regla usuario previa (no cargar / usado / sin repuesto)","REPARACION DE LLAVE DE ENCENDIDO (REARMADO MONTAJE DE LLAVE ENCENDIDO) DESMONTAJE TOTAL DE MOTOR BATERIAS Y PLACA ELECTRONICA LIMPIEZA INTERIOR MONTAJE DE BATERIAS , LIMPIEZA MOTOR Y LUBRICACION CON GRASA EN AEROSOL CONTROL DE FUNCIONAMIENTO PLACA ELECTRONICA"
"28882","Kangaroo","224","","","","revisar","Sin regla automática confiable","CONTROL DE FUNCIONAMIENTO, CAMBIO DE BATERIAS LOTE 9868 "
"28894","Movi-vac","A-550","","","","revisar","Sin regla automática confiable","REPARATO GABINETE SOPORTE DE MANIJA, CAMBIO DE FUJSE BATERIA"
"28895","Movi-vac","A-550","","","","sin_cambio","No indica reemplazo de batería","se cargaron las baterias hasta que lleguen a la tensión normal de las mismas (estaban muy descargadas) - control de funcionamiento de baterias ok - control de carga ok - aspiracion maxima 550mmHg"
"28896","Movi-vac","A-550","","Vacuómetro x1.00 || Baterías x1.00","ME-041 x2 || IN-001 x1","aplicable_sugerido","Regla Movi-vac inferida por texto","CAMBIO DE VACUOMETRO, CAMBIO DE 2 BATERIAS DE 6V 4 AMP LOTE 9970 LIMPIEZA Y LUBRICACION DE MOTOR, COLOCACION DE SUPLEMENTE SOPORTE DE VALVULA AGUJA"
"28897","Movi-vac","A-550","","","ME-031 x1 (fusible/porta fusible)","aplicable_sugerido","Regla Movi-vac inferida por texto","CAMBIO DE MINIFUSE 3 AMP, DESARME LIMPIEZA Y LUBRICACION MOTOR."
"28898","Movi-vac","A-550","","BATERÍA GEL 6V 4AH x2.00 [ME-041] (costo:9490.00)","","ya_aplicado","Ya aplicado en paso anterior","requiere cambio de pack de baterias 6v 4a- jack de alimentacion - "
"28899","Inogen","ONE","G2","Cambio de ceolitas x1.00","","revisar","Sin regla automática confiable","Se cambia canister de ceolitas (HF-COLC-244727324)
Se cambian Filtros
Limpieza general del equipo"
"28903","Nellcor","N-560","","","ME-087 x1","aplicable_sugerido","Batería 12V 1.3A detectada","CAMBIO DE BATERIA 12V 1.3 A - CONTROL DE FUNCIONAMIENTO OK"
"28909","Movi-vac","A-550","","Baterías x1.00 || Vacuómetro x1.00","IN-001 x1","aplicable_sugerido","Regla Movi-vac inferida por texto","ADAPTADOR SOPORTE VALVULA AGUJA, 2 DE BATERIAS DE 6V 4 AMP LOT 9970, LUBRICACION MOTOR, CAMBIO DE SOPORTE BATERIA LIMPIEZA INTERIOR, CAMBIO DE VACUOMETRO LOTE 26912"
"28910","Movi-vac","A-550","","BATERÍA GEL 6V 4AH x2.00 [ME-041] (costo:9490.00) || Vacuómetro diámetro 52MM Fij. Frontal x1.00 [IN-001] (costo:39420.00)","","ya_aplicado","Ya aplicado en paso anterior","REQUIERE CAMBIO DE PACK DE BATERIAS 6V 4A - VACUOMETRO - CAMBIO DE CARCAZA FRONTAL - CIRCUITO NEUMATICO - LIMPIEZA Y LUBRICACION DE MOTOR COMPLETO CON GRASA LIQUIDA WURTH, CAMBIO DE FLAPPER(HECHO) - "
"28911","Movi-vac","A-550","","Vacuómetro x1.00","ME-031 x1 (fusible/porta fusible)","aplicable_sugerido","Regla Movi-vac inferida por texto","CAMBIO DE FUSE 3 AMP MINIFICHA, CAMBIO VACUOMETRO (LOTE 26912)"
"28915","Movi-vac","A-550","","BATERÍA GEL 6V 4AH x2.00 [ME-041] (costo:9490.00) || Vacuómetro diámetro 52MM Fij. Frontal x1.00 [IN-001] (costo:39420.00) || diagnostico prioritario x1.00","","ya_aplicado","Ya aplicado en paso anterior","se cambió pack de baterías 6v 4a  lote  9970- cambio de vacuómetro   lote 26912 más conector plástico - reparación de placa 
aspiración máxima 540mmHg"
"28918","BMC","PolyWatch YH-600B","PRO","CAble x1.00 || Canula x1.00","","revisar","Pila específica sin código confirmado","cambio de cable de kit de respiración - cambio de pila interna de 3v - actualización de software para corrección de año y artificio - colocación de conector plástico de cánula nasal del kit de respiración - control de funcionamiento ok - reparación de carcaza - incorporación de varilla de tapa de pila y micro sd"
"28921","Movi-vac","A-550","","Vacuómetro x1.00","IN-001 x1 || ME-031 x1 (fusible/porta fusible)","aplicable_sugerido","Regla Movi-vac inferida por texto","CAMBIO DE FUSIBLE MINIFICHA 3A - ARMADO DE MOTOR - LIMPIEZA Y LUBRICACION DE MOTOR(con grasa liquida) - REQUIERE CAMBIO DE VACUOMETRO 
ASPIRACION MAXIMA 550mmHg"
