os,origen,texto_fuente,keywords_fuente,codigo_candidato,nombre_candidato,costo_neto,score,confianza
28783,texto_trabajos,KW:filtro,compresor | filtro,1208043,Conjunto de filtro compatible c/conc. G4 SP-704,152775.00,55,baja
28783,texto_trabajos,KW:filtro,compresor | filtro,SP704,Conjunto de filtro compatible c/conc. G4,72750.00,55,baja
28783,texto_trabajos,KW:compresor,compresor | filtro,SP818,KIT S/CAMISAS COMPRESOR THOMAS 2650 (GRANDES),48015.00,47,baja
28783,texto_trabajos,KW:compresor,compresor | filtro,PS-051,CAMISAS COMPRESOR THOMAS 2650 X 2 UNIDADES,36375.00,44,baja
28784,item_presupuesto,Placa,placa,SP700,Placa base G4,203000.00,115,media
28784,item_presupuesto,Placa,placa,MP-013,PLACA DE CONTROL,58200.00,107,media
28784,item_presupuesto,Placa,placa,1502016,PLACA INOGEN G4,0.00,105,media
28785,item_presupuesto,Válvula Pilot EVERFLO,valvula_pillow,1519004,VÁLVULA PILOT EVERFLO,0.00,180,alta
28785,item_presupuesto,FILTRO P/CONCENTRADOR EVERFLO,filtro,FI-002,FILTRO CONCENTRADOR EVERFLOW ORIGINAL,58927.50,106,media
28785,item_presupuesto,FILTRO P/CONCENTRADOR EVERFLO,filtro,1208036,FILTRO CONCENTRADOR EVERFLOW GENÉRICO,4365.00,106,media
28785,item_presupuesto,FILTRO P/CONCENTRADOR EVERFLO,filtro,1208001,Filtro aspirador generico FA550,2757661.50,85,baja
28785,item_presupuesto,Válvula Pilot EVERFLO,valvula_pillow,1213032,Válvula de fonación SHILEY SSV,26166429.00,72,baja
28785,item_presupuesto,Válvula Pilot EVERFLO,valvula_pillow,PS-029,VALVULA ARANDELA,0.00,68,baja
28788,item_presupuesto,Vacuómetro,vacuometro,PS-034,"CONECTOR  BCE. VACUOMETRO 3/8"" NF",0.00,105,media
28788,item_presupuesto,Vacuómetro,vacuometro,IN-001,Vacuómetro diámetro 52MM Fij. Frontal,39285.00,103,media
28788,item_presupuesto,Vacuómetro,vacuometro,IN002,Vacuómetro diametro 50mm p/aspirador SILFAB,29100.00,97,media
28789,item_presupuesto,Canister ceolita EVERFLO + Válvula,valvula_pillow | zeolita_tamiz,1504010,Canister ceolita EVERFLO + Válvula,0.00,200,alta
28789,item_presupuesto,FILTRO CONCENTRADOR EVERFLOW GENÉRICO,filtro,1208036,FILTRO CONCENTRADOR EVERFLOW GENÉRICO,4365.00,185,alta
28789,item_presupuesto,FILTRO CONCENTRADOR EVERFLOW GENÉRICO,filtro,FI-002,FILTRO CONCENTRADOR EVERFLOW ORIGINAL,58927.50,108,media
28789,item_presupuesto,Canister ceolita EVERFLO + Válvula,valvula_pillow | zeolita_tamiz,1504006,CANISTER CEOLITA LONGFIAN JAY-10,240075.00,90,media
28789,item_presupuesto,Canister ceolita EVERFLO + Válvula,valvula_pillow | zeolita_tamiz,1504004,CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR),130950.00,90,media
28789,item_presupuesto,FILTRO CONCENTRADOR EVERFLOW GENÉRICO,filtro,1208001,Filtro aspirador generico FA550,2757661.50,86,baja
28790,item_presupuesto,Cable kit,cable,ME-043,CABLE DOBLE8,2910.00,82,baja
28790,item_presupuesto,Cable kit,cable,SC-111,CABLEADO MOTOR,0.00,80,baja
28790,item_presupuesto,Cable kit,cable,SC-110,CABLEADO BATERIAS,0.00,73,baja
28791,texto_trabajos,KW:motor,motor,SC-102,CABLE ACCESORIO DE 12V ENCENDEDOR DE AUTOMOTOR,8730.00,42,baja
28791,texto_trabajos,KW:motor,motor,1501003,Turbina para CPAP/Auto CPAP BMC G3,291000.00,40,baja
28792,item_presupuesto,TURBINA,motor,R11391,Turbina (eje 5mm) PC-307,58200.00,108,media
28792,item_presupuesto,TURBINA,motor,1501004,Turbina para BPAP BMC G3 M3+,291000.00,101,media
28792,item_presupuesto,TURBINA,motor,1501006,TURBINA NP1-TKD PARA G1,0.00,101,media
28803,texto_trabajos,KW:sensor,sensor,1223012,Cobertor p/sensor temp. WELCHALLYN p/EDAN x25 u,0.00,54,baja
28803,texto_trabajos,KW:sensor,sensor,1212023,Sensor de monit. de EEG AD. 186-0106,29098836.00,52,baja
28815,texto_trabajos,KW:bateria_pila,bateria_pila,1509002,Batería de 8 celdas Inogen One G4 BA-408,2109750.00,53,baja
28815,texto_trabajos,KW:bateria_pila,bateria_pila,1204001,Jarra para aspirador a batería BEMIS 800 c.c.,4980930.60,47,baja
28816,texto_trabajos,KW:bateria_pila,bateria_pila | placa,1509002,Batería de 8 celdas Inogen One G4 BA-408,2109750.00,54,baja
28816,texto_trabajos,KW:bateria_pila,bateria_pila | placa,1204001,Jarra para aspirador a batería BEMIS 800 c.c.,4980930.60,48,baja
28816,texto_trabajos,KW:placa,bateria_pila | placa,1509001,Bateria 4400MA BEDSIDE SPO2 original,0.00,48,baja
28816,texto_trabajos,KW:placa,bateria_pila | placa,1209003,Kit de oximetria SPO2 modelo G3,51034125.00,46,baja
28817,texto_trabajos,KW:bateria_pila,bateria_pila,1509002,Batería de 8 celdas Inogen One G4 BA-408,2109750.00,60,baja
28817,texto_trabajos,KW:bateria_pila,bateria_pila,1509003,Batería p/conc. portátil LONGFIAN JAY-10D,0.00,57,baja
28819,texto_trabajos,KW:bateria_pila,bateria_pila,1509002,Batería de 8 celdas Inogen One G4 BA-408,2109750.00,60,baja
28819,texto_trabajos,KW:bateria_pila,bateria_pila,1509003,Batería p/conc. portátil LONGFIAN JAY-10D,0.00,57,baja
28820,texto_trabajos,KW:bateria_pila,bateria_pila,1509002,Batería de 8 celdas Inogen One G4 BA-408,2109750.00,63,baja
28820,texto_trabajos,KW:bateria_pila,bateria_pila,1509003,Batería p/conc. portátil LONGFIAN JAY-10D,0.00,62,baja
28826,texto_trabajos,KW:compresor,compresor | filtro | rueda | zeolita_tamiz,SP818,KIT S/CAMISAS COMPRESOR THOMAS 2650 (GRANDES),48015.00,53,baja
28826,texto_trabajos,KW:filtro,compresor | filtro | rueda | zeolita_tamiz,SP704,Conjunto de filtro compatible c/conc. G4,72750.00,52,baja
28826,texto_trabajos,KW:filtro,compresor | filtro | rueda | zeolita_tamiz,1208043,Conjunto de filtro compatible c/conc. G4 SP-704,152775.00,51,baja
28826,texto_trabajos,KW:zeolita_tamiz,compresor | filtro | rueda | zeolita_tamiz,1504002,Kit de canister zeolita compatible conc. G3 SP-563,385575.00,51,baja
28826,texto_trabajos,KW:zeolita_tamiz,compresor | filtro | rueda | zeolita_tamiz,1504004,CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR),130950.00,48,baja
28826,texto_trabajos,KW:compresor,compresor | filtro | rueda | zeolita_tamiz,PS-051,CAMISAS COMPRESOR THOMAS 2650 X 2 UNIDADES,36375.00,46,baja
28826,texto_trabajos,KW:rueda,compresor | filtro | rueda | zeolita_tamiz,PS-062,SOPORTE RUEDAS LONGFIAN JAY-5,0.00,36,baja
28862,texto_trabajos,KW:filtro,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,1208043,Conjunto de filtro compatible c/conc. G4 SP-704,152775.00,47,baja
28862,texto_trabajos,KW:filtro,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,SP704,Conjunto de filtro compatible c/conc. G4,72750.00,47,baja
28862,texto_trabajos,KW:bateria_pila,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,1204001,Jarra para aspirador a batería BEMIS 800 c.c.,4980930.60,45,baja
28862,texto_trabajos,KW:zeolita_tamiz,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,1504002,Kit de canister zeolita compatible conc. G3 SP-563,385575.00,45,baja
28862,texto_trabajos,KW:zeolita_tamiz,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,1504004,CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR),130950.00,45,baja
28862,texto_trabajos,KW:bateria_pila,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,DIR-02C,Filtro de aire (Pack x 4)PC-305,436500.00,41,baja
28862,texto_trabajos,KW:tecla_boton_llave,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,SC-108,LLAVE ENCENDIDO LONGFIAN JA5-5/JAY-5Q,1455.00,33,baja
28862,texto_trabajos,KW:tecla_boton_llave,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,1516005,Llave cónica p/montaje de comp. específ. Magnamed,0.00,30,baja
28864,item_presupuesto,Canister ceolita EVERFLO + Válvula,valvula_pillow | zeolita_tamiz,1504010,Canister ceolita EVERFLO + Válvula,0.00,200,alta
28864,item_presupuesto,Canister ceolita EVERFLO + Válvula,valvula_pillow | zeolita_tamiz,1504006,CANISTER CEOLITA LONGFIAN JAY-10,240075.00,90,media
28864,item_presupuesto,Canister ceolita EVERFLO + Válvula,valvula_pillow | zeolita_tamiz,1504004,CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR),130950.00,90,media
28866,texto_trabajos,KW:filtro,filtro,1208018,Filtro interno respirador ASTRAL 27939,7275.00,58,baja
