codigo,nombre,costo_neto,apariciones_en_top3,os_distintas
1504008,RECAMBIO CEOLITA AIRSEP (PAR),145500.00,7,7
1509002,Batería de 8 celdas Inogen One G4 BA-408,2109750.00,7,7
PS-034,"CONECTOR  BCE. VACUOMETRO 3/8"" NF",0.00,7,7
1204001,Jarra para aspirador a batería BEMIS 800 c.c.,4980930.60,6,6
1208043,Conjunto de filtro compatible c/conc. G4 SP-704,152775.00,5,5
SP704,Conjunto de filtro compatible c/conc. G4,72750.00,5,5
1509003,Batería p/conc. portátil LONGFIAN JAY-10D,0.00,4,4
SC-110,CABLEADO BATERIAS,0.00,4,4
1504010,Canister ceolita EVERFLO + Válvula,0.00,3,3
SC-102,CABLE ACCESORIO DE 12V ENCENDEDOR DE AUTOMOTOR,8730.00,3,3
1204002,Tapa de jarra p/aspirador a batería BEMIS 800 c.c.,0.00,2,2
1208036,FILTRO CONCENTRADOR EVERFLOW GENÉRICO,4365.00,2,2
1505003,COOLER  KONSUNG,0.00,2,2
ME-043,CABLE DOBLE8,2910.00,2,2
PS-039,SOPORTE INTERNO BATERIA/MOTOR,2910.00,2,2
SC-106,GABINETE COMPLETO,61110.00,2,2
SP818,KIT S/CAMISAS COMPRESOR THOMAS 2650 (GRANDES),48015.00,2,2
1208012,Filtro de aire externo AIRSEP NEW LIFE,4365.00,1,1
1208016,Filtro de aire interno AIRSEP NEW LIFE,7275.00,1,1
1208018,Filtro interno respirador ASTRAL 27939,7275.00,1,1
1208040,Filtro externo p/CPAP DM28 YAMIND,55290.00,1,1
1212023,Sensor de monit. de EEG AD. 186-0106,29098836.00,1,1
1213032,Válvula de fonación SHILEY SSV,26166429.00,1,1
1213050,Manguera de O2 1.5mts (BL) conexión DISSR/DISSR,0.00,1,1
1213051,Manguera de aire 1.5mts (AM) conexión DISSR/DISSR,0.00,1,1
1223012,Cobertor p/sensor temp. WELCHALLYN p/EDAN x25 u,0.00,1,1
1223015,Manguera prolongador PNI c/acople rápido UMEC12,0.00,1,1
1223017,Sensor SPO2 broche adulto AURORA KONSUNG original,33553027.50,1,1
1501003,Turbina para CPAP/Auto CPAP BMC G3,291000.00,1,1
1504002,Kit de canister zeolita compatible conc. G3 SP-563,385575.00,1,1
1504004,CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR),130950.00,1,1
1509001,Bateria 4400MA BEDSIDE SPO2 original,0.00,1,1
1516016,MANGUERA DE O2 MAGNAMED,0.00,1,1
1519004,VÁLVULA PILOT EVERFLO,0.00,1,1
1519006,ELECTROVÁLVULA LONGFIAN JAY-5Q,0.00,1,1
FI-002,FILTRO CONCENTRADOR EVERFLOW ORIGINAL,58927.50,1,1
LA-003,LABIO DE BOMBA DE VACIO MOTORCOM,0.00,1,1
ME-014,PORTA FUSIBLE 5X20 P/IMPRESO C/TAPA,0.00,1,1
ME-041,BATERÍA GEL 6V 4AH,43650.00,1,1
MP-042,MANIJA VOLCABLE P/VALVULA SUPERIOR CON ESPINA,9166.50,1,1
PS-006,PASACABLE PLASTICO,0.00,1,1
R11391,Turbina (eje 5mm) PC-307,58200.00,1,1
R25266,Pasacánulas angular PC-307,14550.00,1,1
SC-104,PLACA PRINCIPAL BPAP 30T,242504.85,1,1
SP507,FILTRO PART.MEDIAS CONC.REPIRONICS MILLENIUM (EXTERNO),2619.00,1,1
SP700,Placa base G4,203000.00,1,1
SP821,Kit de tablero de batería G5,0.00,1,1
