"os","fecha_ingreso","fecha_entrega","cliente","marca","modelo","tipo_equipo","descripcion_problema","trabajos_realizados"
"28783","2025-12-01 00:00:00","2025-12-19 10:04:50","SIED","Longfian","JAY-5Q","CONCENTRADOR DE OXÍGENO","se soltó el tapón derecho del compresor","colocación de tapón - cambio de filtros - cambio de tapa de filtro - control y limpieza del equipo"
"28791","2025-12-02 00:00:00","2026-01-13 16:53:22","OXIDOM","BMC","CPAP G2","CPAP","EQUIPO TENIA PERDIDA DE FLUJO DE AIRE INTERNA - EQUIPO CONTAMINADO POR BICHOS EN SU INTERIOR - MAL FUNCIONAMIENTO DE RESLEX 
PERDIDA DE FLUJO INTERNA POR TURBINA DESACOMODADA","LIMPIEZA Y DESINFECCION DE EQUIPO - ACTUALIZACION DE SOFTWARE DEL EQUIPO - CONTROL OK
CAMBIO DE CARCAZA DE TURBINA POR RESIDUOS DE INSECTOS 
"
"28803","2025-12-05 00:00:00","","NOVAMED S.A.","Nellcor","N-560","oxímetro de pulso","Fijación de ficha de entrada de sensor ROTA","Incorporación de soporte interno para ficha de enttrada de sensor"
"28809","2025-12-05 00:00:00","","PRAXAIR ARG.","BMC","CPAP G2","CPAP","oscilación de presión por falla en reslex - equipo sucio","actualización de software  - limpieza interior y exterior - control de funcionamiento ok"
"28815","2025-12-05 00:00:00","","DOMICILIO SALUD","Nellcor","N-560","oxímetro de pulso","bateria obsoleta - carcaza de frente e inferior rota","cambio de bateria 12v 1.3a - cambio de carcaza de frente e inferior"
"28816","2025-12-05 00:00:00","","PRAXAIR ARG.","Nellcor","N-560","oxímetro de pulso","error 526(falla en modulo SPo2) - bateria obsoleta - carcaza inferior rota","cambio de modulo spo2 y bateria 12v 1.3a - cambio de carcaza inferior"
"28817","2025-12-05 00:00:00","","PRAXAIR ARG.","Nellcor","N-560","oxímetro de pulso","bateria obsoleta","CAMBIO DE BATERIA 12V 1.3A - CONTROL DE FUNCIONAMIENTO OK"
"28819","2025-12-05 00:00:00","","PRAXAIR ARG.","Nellcor","N-560","oxímetro de pulso","bateria obsoleta","cambio de bateria 12v 1.3a - control de funcionamiento ok "
"28820","2025-12-05 00:00:00","","PRAXAIR ARG.","Nellcor","N-560","oxímetro de pulso","BATERIA OBSOLETA","CAMBIO DE BATERIA 12V 1.3A - CONTROL OK"
"28826","2025-12-05 00:00:00","","PRAXAIR ARG.","Longfian","JAY-5Q","CONCENTRADOR DE OXÍGENO","compresor ruidoso 
rueda delantera faltante
zeolita degradada","colocación de rueda faltante - cambio de labios - cambio de filtros - cambio de zeolita - colocacion de banda elastica"
"28903","2025-12-05 00:00:00","","PRAXAIR ARG.","Nellcor","N-560","oxímetro de pulso","BATERIA OBSOLETA","CAMBIO DE BATERIA 12V 1.3 A - CONTROL DE FUNCIONAMIENTO OK"
"28862","2025-12-09 00:00:00","2025-12-18 07:06:00","OXICASTHOMECARE","Longfian","JAY-5Q","CONCENTRADOR DE OXÍGENO","zeolita degradada
pila alarma degradada","cambio de zeolita - cambio de pila alarma - cambio de filtros - corrección de tecla ON/OFF - control y limpieza del equipo

Se BONIFICA el cambio de zeolitas por posible falla de fábrica."
"28866","2025-12-09 00:00:00","","SIMPLE SALUD","AirSep","NewLife Elite","CONCENTRADOR DE OXÍGENO","el equipo esta en buenas condiciones","cambio de filtro externo - control de funcionamiento - concentra en 5L 92,3/94,6%"
"28882","2025-12-09 00:00:00","","DOMICILIO SALUD","Kangaroo","224","BOMBA DE ALIMENTACIÓN","NO FUNCIONA A BATERIA","CONTROL DE FUNCIONAMIENTO, CAMBIO DE BATERIAS LOTE 9868 "
"28870","2025-12-11 00:00:00","2026-01-13 07:17:00","DIAGNOSTIC MEDIC","BMC","CPAP G2","CPAP","OSCILACION DE PRESION CUANDO EL RESLEX ESTA ACTIVADO","ACTUALIZACION DE SOFTWARE PARA CORRECCION DE FALLA EN RESLEX - CALIBRACION DEL EQUIPO - CONTROL DE FUNCIONAMIENTO OK - CAMBIO DE FILTRO"
"28871","2025-12-11 00:00:00","2025-12-30 13:47:00","SOENSA","Movi-vac","A-550","ASPIRADOR A BATERÍAS","PULSADOR DE ENCENDIDO DESARMADO","REPARACION DE LLAVE DE ENCENDIDO (REARMADO MONTAJE DE LLAVE ENCENDIDO) DESMONTAJE TOTAL DE MOTOR BATERIAS Y PLACA ELECTRONICA LIMPIEZA INTERIOR MONTAJE DE BATERIAS , LIMPIEZA MOTOR Y LUBRICACION CON GRASA EN AEROSOL CONTROL DE FUNCIONAMIENTO PLACA ELECTRONICA"
"28874","2025-12-12 00:00:00","2025-12-24 08:03:00","AVIL SALUD SRL","Movi-vac","A-550","ASPIRADOR A BATERÍAS","VALVULA AGUJA FORZADA","LUBRICACION VALVULA AGUJA Y FIJACION A GABINETE"
"28877","2025-12-15 00:00:00","2026-01-13 11:58:26","SIED","Longfian","JAY-5Q","CONCENTRADOR DE OXÍGENO","pico de salida roto
zeolita degradada/ concentraba 86/89%","cambio de pico de salida O2 - cambio de zeolita - cambio de banda elástica - control y limpieza del equipo"
"28891","2025-12-15 00:00:00","2026-01-09 11:43:00","BIOMEDICAL CARE SUR S.A.S.","Yamind","DM26","CPAP","microsd del equipo pide formatear por error de numero de serie - cuando se intento leer los datos de tarjeta en el software somnus tiro el error  ""La operación aritmética ha provocado un desbordamiento"" - equipo con bastante polvo y tierra en su interior","-El equipo pide formatear la microSD cuando se enciende porque esta línea de equipos solo permite una microSD por equipo, no permite usar la misma para diferentes equipos
-Se identificaron los archivos corruptos de la sd y se intercambiaron por otros que no lo estén, de otro equipo, haciendo esto se logro leer los datos de terapia en el somnus con el inconveniente de que a la hora de leer los datos, el numero de serie que figurara es el del equipo que se usaron los archivos - se enviara una carpeta comprimida con todos los datos óptimos para leerlos - se recomienda formatear la microSD y usarla nuevamente en el equipo que corresponde
-Limpieza interior y exterior de equipo, control de funcionamiento ok"
"28892","2025-12-15 00:00:00","2026-01-06 11:39:00","BIOMEDICAL CARE SUR S.A.S.","BMC","CPAP G2S","CPAP","equipo entrega presiones erroneas cuando el reslex esta activado","actualizacion de software para correccion de falla en reslex - calibracion del equipo - control de funcionamiento ok - limpieza interior y exterior - cambio de filtro"
"28888","2025-12-16 00:00:00","","ALEXANDER FLEMING S A","EI","K-135","BOMBA DE ASPIRACION DE DRENAJE","leds testigos y porta fusible flojos
conectores llenos de cinta 
mangueras internas vencidas","cambio de mangueras - ajuste de leds testigos y porta fusible - limpieza de cinta en conectores y columna de agua - control y limpieza del equipo"
"28889","2025-12-16 00:00:00","2026-01-13 11:58:48","SIED","Kangaroo","324","BOMBA DE INFUSIÓN","NO DETECTA IMAN DE GOTERO","AJUSTE DE ALOJAMIENTO IMAN DE GOTERO, CONTROL DE FUNCIONAMIENTO"
"28927","2025-12-16 00:00:00","","ALEXANDER FLEMING S A","EI","K-135","BOMBA DE ASPIRACION DE DRENAJE","mangueras interna y externas gastadas","cambio de mangueras - control y limpieza del equipo"
"28893","2025-12-17 00:00:00","2026-01-09 11:34:00","SOENSA","BMC","AUTO CPAP G2S","AUTO CPAP","EQUIPO CON SILBIDO EN TURBINA POR RODAMIENTO DESGASTADO - REQUIERE CAMBIO DE TURBINA - PLACA OK 
 EQUIPO EN GARANTIA NO SE ENCONTRARON ANOMALIAS O SIGNOS DE MAL USO DEL EQUIPO E","CONTROL DE FUNCIONAMIENTO DE TODOS LOS PARAMETROS DEL EQUIPO OK - CAMBIO DE TURBINA - CAMBIO DE FILTRO"
"28894","2025-12-18 00:00:00","2026-01-20 07:11:00","PANAS","Movi-vac","A-550","ASPIRADOR A BATERÍAS","NOCARGA BATERIA, SOPORTE MANIJA ROTO","REPARATO GABINETE SOPORTE DE MANIJA, CAMBIO DE FUJSE BATERIA"
"28895","2025-12-18 00:00:00","2026-01-20 07:10:00","PANAS","Movi-vac","A-550","ASPIRADOR A BATERÍAS","equipo no funcionaba correctamente a baterias - baterias descargadas -","se cargaron las baterias hasta que lleguen a la tensión normal de las mismas (estaban muy descargadas) - control de funcionamiento de baterias ok - control de carga ok - aspiracion maxima 550mmHg"
"28897","2025-12-18 00:00:00","2026-01-20 07:11:00","PANAS","Movi-vac","A-550","ASPIRADOR A BATERÍAS","NO FUNCIONA A BATERIAS BAJO NIVEL DE ASPIRACION","CAMBIO DE MINIFUSE 3 AMP, DESARME LIMPIEZA Y LUBRICACION MOTOR."
"28912","2025-12-22 00:00:00","2026-01-07 06:54:00","NOVAMED S.A.","Silfab","N-33A","ASPIRADOR","","LIMPIEZA Y CONTROL DE FUNCIONAMIENTO"
"28931","2025-12-31 00:00:00","","RESPIFLOW","Silfab","N-33A","ASPIRADOR","devolucion","LIMPIEZA GRAL CONTROL DE FUNCIONAMIENTO"
