os,fecha_ingreso,fecha_entrega,cliente,marca,modelo,variante,tipo_equipo,rep_items,rep_items_sin_codigo,repuestos_presupuesto,keyword_principal,trabajos_realizados
28783,2025-12-01 00:00:00,2025-12-19 10:04:50,SIED,Longfian,JAY-5Q,"",CONCENTRADOR DE OXÍGENO,0,0,"",filtro,colocación de tapón - cambio de filtros - cambio de tapa de filtro - control y limpieza del equipo
28788,2025-12-02 00:00:00,2025-12-19 07:01:00,SIED,Movi-vac,A-550,"",ASPIRADOR A BATERÍAS,1,1,Vacuómetro x1.00,vacuometro,"DESMARME LIMPIEZA Y LUBRICACION DE MOTOR, FIJACION MOTOR A BOMBA CAMBIO DE VACUOMETRO"
28790,2025-12-01 00:00:00,2025-12-09 16:34:11,DIAGNOSTIC MEDIC,BMC,PolyWatch YH-600B,PRO,POLÍGRAFO,1,1,Cable kit x1.00,cable,"cambio de cable del kit de respiracion - control de funcionamiento ok

Accesorios: bolso + kit respiratorio + Sensor SpO2 + latiguillos"
28791,2025-12-02 00:00:00,2026-01-13 16:53:22,OXIDOM,BMC,CPAP G2,RESMART,CPAP,0,0,"",otros,"LIMPIEZA Y DESINFECCION DE EQUIPO - ACTUALIZACION DE SOFTWARE DEL EQUIPO - CONTROL OK
CAMBIO DE CARCAZA DE TURBINA POR RESIDUOS DE INSECTOS 
"
28792,2025-12-02 00:00:00,2026-01-19 07:16:00,OXIDOM,BMC,CPAP G2,E-20C-H-O,CPAP,1,1,TURBINA x1.00,otros,"SE REALIZO ACTUALIZACION DE SOFTWARE PARA CORRECCION DE RESLEX - SILBIDO EN TURBINA CAUSADO POR RODAMIENTO INTERNO DE LA TURBINA DESGASTADO, CAUSADO POR EL EXCESO DE SUCIEDAD QUE ENTRO EN EL EQUIPO(SE ADJUNTAN FOTOS)
REQUIERE CAMBIO DE TURBINA"
28803,2025-12-05 00:00:00,,NOVAMED S.A.,Nellcor,N-560,"",oxímetro de pulso,0,0,"",otros,Incorporación de soporte interno para ficha de enttrada de sensor
28809,2025-12-05 00:00:00,,PRAXAIR ARG.,BMC,CPAP G2,E-20C-H-O,CPAP,0,0,"",otros,actualización de software  - limpieza interior y exterior - control de funcionamiento ok
28815,2025-12-05 00:00:00,,DOMICILIO SALUD,Nellcor,N-560,"",oxímetro de pulso,0,0,"",bateria/pila,cambio de bateria 12v 1.3a - cambio de carcaza de frente e inferior
28816,2025-12-05 00:00:00,,PRAXAIR ARG.,Nellcor,N-560,"",oxímetro de pulso,0,0,"",bateria/pila,cambio de modulo spo2 y bateria 12v 1.3a - cambio de carcaza inferior
28817,2025-12-05 00:00:00,,PRAXAIR ARG.,Nellcor,N-560,"",oxímetro de pulso,0,0,"",bateria/pila,CAMBIO DE BATERIA 12V 1.3A - CONTROL DE FUNCIONAMIENTO OK
28819,2025-12-05 00:00:00,,PRAXAIR ARG.,Nellcor,N-560,"",oxímetro de pulso,0,0,"",bateria/pila,cambio de bateria 12v 1.3a - control de funcionamiento ok 
28820,2025-12-05 00:00:00,,PRAXAIR ARG.,Nellcor,N-560,"",oxímetro de pulso,0,0,"",bateria/pila,CAMBIO DE BATERIA 12V 1.3A - CONTROL OK
28826,2025-12-05 00:00:00,,PRAXAIR ARG.,Longfian,JAY-5Q,"",CONCENTRADOR DE OXÍGENO,0,0,"",filtro,colocación de rueda faltante - cambio de labios - cambio de filtros - cambio de zeolita - colocacion de banda elastica
28862,2025-12-09 00:00:00,2025-12-18 07:06:00,OXICASTHOMECARE,Longfian,JAY-5Q,"",CONCENTRADOR DE OXÍGENO,0,0,"",filtro,"cambio de zeolita - cambio de pila alarma - cambio de filtros - corrección de tecla ON/OFF - control y limpieza del equipo

Se BONIFICA el cambio de zeolitas por posible falla de fábrica."
28866,2025-12-09 00:00:00,,SIMPLE SALUD,AirSep,NewLife Elite,5L,CONCENTRADOR DE OXÍGENO,0,0,"",filtro,"cambio de filtro externo - control de funcionamiento - concentra en 5L 92,3/94,6%"
28870,2025-12-11 00:00:00,2026-01-13 07:17:00,DIAGNOSTIC MEDIC,BMC,CPAP G2,E-20C-H-O,CPAP,0,0,"",filtro,ACTUALIZACION DE SOFTWARE PARA CORRECCION DE FALLA EN RESLEX - CALIBRACION DEL EQUIPO - CONTROL DE FUNCIONAMIENTO OK - CAMBIO DE FILTRO
28871,2025-12-11 00:00:00,2025-12-30 13:47:00,SOENSA,Movi-vac,A-550,"",ASPIRADOR A BATERÍAS,0,0,"",bateria/pila,"REPARACION DE LLAVE DE ENCENDIDO (REARMADO MONTAJE DE LLAVE ENCENDIDO) DESMONTAJE TOTAL DE MOTOR BATERIAS Y PLACA ELECTRONICA LIMPIEZA INTERIOR MONTAJE DE BATERIAS , LIMPIEZA MOTOR Y LUBRICACION CON GRASA EN AEROSOL CONTROL DE FUNCIONAMIENTO PLACA ELECTRONICA"
28874,2025-12-12 00:00:00,2025-12-24 08:03:00,AVIL SALUD SRL,Movi-vac,A-550,"",ASPIRADOR A BATERÍAS,0,0,"",valvula/pillow,LUBRICACION VALVULA AGUJA Y FIJACION A GABINETE
28875,2025-12-15 00:00:00,2026-01-14 07:19:00,SIED,AirSep,NewLife Elite,5L,CONCENTRADOR DE OXÍGENO,3,2,Ceolitas x1.00 || Electroválvulas x1.00 || PLACA PRINCIPAL AIRSEP x1.00 [1502012],filtro,cambio de placa principal - cambio de electroválvula - cambio de filtros - cambio zeolita (CAN 0026/27) - control y limpieza del equipo
28876,2025-12-15 00:00:00,2026-01-13 11:59:48,SIED,Longfian,JAY-5,"",CONCENTRADOR DE OXÍGENO,2,2,Ceolita x1.00 || Cooler x1.00,filtro,cambio de cooler - cambio zeolita - cambio de filtros - control y limpieza del equipo
28877,2025-12-15 00:00:00,2026-01-13 11:58:26,SIED,Longfian,JAY-5Q,"",CONCENTRADOR DE OXÍGENO,0,0,"",zeolita/tamiz,cambio de pico de salida O2 - cambio de zeolita - cambio de banda elástica - control y limpieza del equipo
28888,2025-12-16 00:00:00,,ALEXANDER FLEMING S A,EI,K-135,"",BOMBA DE ASPIRACION DE DRENAJE,0,0,"",otros,cambio de mangueras - ajuste de leds testigos y porta fusible - limpieza de cinta en conectores y columna de agua - control y limpieza del equipo
28889,2025-12-16 00:00:00,2026-01-13 11:58:48,SIED,Kangaroo,324,"",BOMBA DE INFUSIÓN,0,0,"",otros,"AJUSTE DE ALOJAMIENTO IMAN DE GOTERO, CONTROL DE FUNCIONAMIENTO"
28891,2025-12-15 00:00:00,2026-01-09 11:43:00,BIOMEDICAL CARE SUR S.A.S.,Yamind,DM26,20C,CPAP,0,0,"",otros,"-El equipo pide formatear la microSD cuando se enciende porque esta línea de equipos solo permite una microSD por equipo, no permite usar la misma para diferentes equipos
-Se identificaron los archivos corruptos de la sd y se intercambiaron por otros que no lo estén, de otro equipo, haciendo esto se logro leer los datos de terapia en el somnus con el inconveniente de que a la hora de leer los datos, el numero de serie que figurara es el del equipo que se usaron los archivos - se enviara una carpeta comprimida con todos los datos óptimos para leerlos - se recomienda formatear la microSD y usarla nuevamente en el equipo que corresponde
-Limpieza interior y exterior de equipo, control de funcionamiento ok"
28892,2025-12-15 00:00:00,2026-01-06 11:39:00,BIOMEDICAL CARE SUR S.A.S.,BMC,CPAP G2S,C20,CPAP,0,0,"",filtro,actualizacion de software para correccion de falla en reslex - calibracion del equipo - control de funcionamiento ok - limpieza interior y exterior - cambio de filtro
28894,2025-12-18 00:00:00,2026-01-20 07:11:00,PANAS,Movi-vac,A-550,"",ASPIRADOR A BATERÍAS,0,0,"",bateria/pila,"REPARATO GABINETE SOPORTE DE MANIJA, CAMBIO DE FUJSE BATERIA"
28895,2025-12-18 00:00:00,2026-01-20 07:10:00,PANAS,Movi-vac,A-550,"",ASPIRADOR A BATERÍAS,0,0,"",bateria/pila,se cargaron las baterias hasta que lleguen a la tensión normal de las mismas (estaban muy descargadas) - control de funcionamiento de baterias ok - control de carga ok - aspiracion maxima 550mmHg
28897,2025-12-18 00:00:00,2026-01-20 07:11:00,PANAS,Movi-vac,A-550,"",ASPIRADOR A BATERÍAS,0,0,"",bateria/pila,"CAMBIO DE MINIFUSE 3 AMP, DESARME LIMPIEZA Y LUBRICACION MOTOR."
28899,2025-12-22 00:00:00,,JORGE TEMPORETTI,Inogen,ONE,G2,CONCENTRADOR DE OXÍGENO PORTÁTIL,1,1,Cambio de ceolitas x1.00,filtro,"Se cambia canister de ceolitas (HF-COLC-244727324)
Se cambian Filtros
Limpieza general del equipo"
28903,2025-12-05 00:00:00,,PRAXAIR ARG.,Nellcor,N-560,"",oxímetro de pulso,0,0,"",bateria/pila,CAMBIO DE BATERIA 12V 1.3 A - CONTROL DE FUNCIONAMIENTO OK
