repuesto_desc_norm,repuesto_descripcion,veces_usado,os_distintas,os_lista,sin_codigo,sin_costo
vacuómetro,Vacuómetro,6,6,28788 | 28896 | 28909 | 28910 | 28911 | 28921,6,6
baterías,Baterías,4,4,28896 | 28898 | 28909 | 28910,4,4
canister ceolita everflo + válvula,Canister ceolita EVERFLO + Válvula,3,3,28789 | 28864 | 28906,0,0
ceolitas,Ceolitas,3,3,28875 | 28907 | 28908,3,3
base plastica,Base plastica,1,1,28907,1,1
cable,CAble,1,1,28918,1,1
cable kit,Cable kit,1,1,28790,1,1
cambio de ceolitas,Cambio de ceolitas,1,1,28899,1,1
canister ceolita jay 5 (el par),CANISTER CEOLITA JAY 5 (EL PAR),1,1,28922,0,0
canula,Canula,1,1,28918,1,1
ceolita,Ceolita,1,1,28876,1,1
cooler,Cooler,1,1,28876,1,1
cooler 220v,Cooler 220V,1,1,28922,1,1
diagnostico prioritario,diagnostico prioritario,1,1,28915,1,1
electroválvulas,Electroválvulas,1,1,28875,1,1
filtro concentrador everflow genérico,FILTRO CONCENTRADOR EVERFLOW GENÉRICO,1,1,28789,0,0
filtro oncentrador everflow genérico,FILTRO ONCENTRADOR EVERFLOW GENÉRICO,1,1,28906,0,0
filtro partic medias airsep new life (externo),FILTRO PARTIC MEDIAS AIRSEP NEW LIFE (EXTERNO),1,1,28867,0,0
filtro p/concentrador everflo,FILTRO P/CONCENTRADOR EVERFLO,1,1,28785,0,0
pack de baterias 6v 4a,pack de baterias 6v 4a,1,1,28915,1,1
placa,Placa,1,1,28784,1,1
placa pirncipal,Placa pirncipal,1,1,28875,1,1
recambio ciolita (par),RECAMBIO CIOLITA (PAR),1,1,28867,0,0
turbina,TURBINA,1,1,28792,1,1
vacuometro,vacuometro,1,1,28915,1,1
válvula pilot everflo,Válvula Pilot EVERFLO,1,1,28785,0,0
