"codigo","nombre","apariciones_en_os","os_distintas","os_lista"
"DIR-02C","","12","12","28815 | 28816 | 28817 | 28819 | 28820 | 28862 | 28871 | 28882 | 28894 | 28895 | 28897 | 28903"
"1208001","Filtro aspirador generico FA550","9","9","28783 | 28826 | 28862 | 28866 | 28870 | 28892 | 28893 | 28907 | 28908"
"IN-001","","7","7","28788 | 28896 | 28909 | 28910 | 28911 | 28915 | 28921"
"PS-034","","7","7","28788 | 28896 | 28909 | 28910 | 28911 | 28915 | 28921"
"SC-110","","5","5","28896 | 28898 | 28909 | 28910 | 28918"
"1209003","Kit de oximetria SPO2 modelo G3","4","4","28790 | 28816 | 28871 | 28893"
"1501005","Turbina P/PB560 REF. 10028768","4","4","28791 | 28871 | 28893 | 28897"
"IN002","Vacuómetro diametro 50mm p/aspirador SILFAB","4","4","28788 | 28911 | 28915 | 28921"
"1208036","FILTRO CONCENTRADOR EVERFLOW GENÉRICO","3","3","28785 | 28789 | 28906"
"1504008","RECAMBIO CEOLITA AIRSEP (PAR)","3","3","28867 | 28876 | 28899"
"1504010","Canister ceolita EVERFLO + Válvula","3","3","28789 | 28864 | 28906"
"1510003","Kit de compresor compatible c/conc. G4 SP-709","3","3","28783 | 28826 | 28907"
"1516016","MANGUERA DE O2 MAGNAMED","3","3","28790 | 28888 | 28927"
"FI-002","","3","3","28785 | 28789 | 28906"
"1504003","Canister zeolita p/Inogen At Home SP-605","2","2","28877 | 28908"
"1504004","CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR)","2","2","28864 | 28922"
"1504006","CANISTER CEOLITA LONGFIAN JAY-10","2","2","28864 | 28922"
"ME-031","","2","2","28888 | 28897"
"MP-042","","2","2","28790 | 28874"
"SC-106","","2","2","28874 | 28894"
"SC-108","","2","2","28862 | 28907"
"1208016","Filtro de aire interno AIRSEP NEW LIFE","1","1","28867"
"1212017","Sensor de sat. c/broche adulto MINDRAY 3m p/EDAN","1","1","28803"
"1501004","Turbina para BPAP BMC G3 M3+","1","1","28792"
"1501006","TURBINA NP1-TKD PARA G1","1","1","28792"
"1502016","PLACA INOGEN G4","1","1","28784"
"1504005","Canister zeolita LONGFIAN JAY-5AW","1","1","28922"
"1505003","COOLER  KONSUNG","1","1","28876"
"1505004","COOLER LONGFIAN JAY","1","1","28876"
"1519001","ELECTROVÁLVULA LONGFIAN JAY-5/JAY-10","1","1","28875"
"1519004","VÁLVULA PILOT EVERFLO","1","1","28785"
"1519006","ELECTROVÁLVULA LONGFIAN JAY-5Q","1","1","28875"
"ME-043","","1","1","28918"
"MP-013","","1","1","28784"
"PK001","Pack baterías NI-CD 6X1800 mA","1","1","28898"
"PS-062","","1","1","28826"
"R11391","Turbina (eje 5mm) PC-307","1","1","28792"
"SC-104","","1","1","28875"
"SC-111","","1","1","28918"
"SP507","FILTRO PART.MEDIAS CONC.REPIRONICS MILLENIUM (EXTERNO)","1","1","28867"
"SP700","Placa base G4","1","1","28784"
