"codigo","nombre","costo_neto_catalogo","precio_venta_catalogo","apariciones_en_os","os_distintas","os_lista"
"DIR-02C","Filtro de aire (Pack x 4)PC-305","436500.00","","12","12","28815 | 28816 | 28817 | 28819 | 28820 | 28862 | 28871 | 28882 | 28894 | 28895 | 28897 | 28903"
"1208001","Filtro aspirador generico FA550","2757661.50","","9","9","28783 | 28826 | 28862 | 28866 | 28870 | 28892 | 28893 | 28907 | 28908"
"IN-001","Vacuómetro diámetro 52MM Fij. Frontal","39285.00","","7","7","28788 | 28896 | 28909 | 28910 | 28911 | 28915 | 28921"
"PS-034","CONECTOR  BCE. VACUOMETRO 3/8"" NF","0.00","","7","7","28788 | 28896 | 28909 | 28910 | 28911 | 28915 | 28921"
"SC-110","CABLEADO BATERIAS","0.00","","5","5","28896 | 28898 | 28909 | 28910 | 28918"
"1209003","Kit de oximetria SPO2 modelo G3","51034125.00","","4","4","28790 | 28816 | 28871 | 28893"
"1501005","Turbina P/PB560 REF. 10028768","494700.00","749700.00","4","4","28791 | 28871 | 28893 | 28897"
"IN002","Vacuómetro diametro 50mm p/aspirador SILFAB","29100.00","","4","4","28788 | 28911 | 28915 | 28921"
"1208036","FILTRO CONCENTRADOR EVERFLOW GENÉRICO","4365.00","","3","3","28785 | 28789 | 28906"
"1504008","RECAMBIO CEOLITA AIRSEP (PAR)","145500.00","198450.00","3","3","28867 | 28876 | 28899"
"1504010","Canister ceolita EVERFLO + Válvula","0.00","","3","3","28789 | 28864 | 28906"
"1510003","Kit de compresor compatible c/conc. G4 SP-709","2400750.00","2425500.00","3","3","28783 | 28826 | 28907"
"1516016","MANGUERA DE O2 MAGNAMED","0.00","","3","3","28790 | 28888 | 28927"
"FI-002","FILTRO CONCENTRADOR EVERFLOW ORIGINAL","58927.50","71442.00","3","3","28785 | 28789 | 28906"
"1504003","Canister zeolita p/Inogen At Home SP-605","654750.00","661500.00","2","2","28877 | 28908"
"1504004","CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR)","130950.00","178605.00","2","2","28864 | 28922"
"1504006","CANISTER CEOLITA LONGFIAN JAY-10","240075.00","327442.50","2","2","28864 | 28922"
"ME-031","PORTA FUSIBLE 6 X 30  P/PANEL","0.00","","2","2","28888 | 28897"
"MP-042","MANIJA VOLCABLE P/VALVULA SUPERIOR CON ESPINA","9166.50","11113.20","2","2","28790 | 28874"
"SC-106","GABINETE COMPLETO","61110.00","","2","2","28874 | 28894"
"SC-108","LLAVE ENCENDIDO LONGFIAN JA5-5/JAY-5Q","1455.00","1984.50","2","2","28862 | 28907"
"1208016","Filtro de aire interno AIRSEP NEW LIFE","7275.00","8820.00","1","1","28867"
"1212017","Sensor de sat. c/broche adulto MINDRAY 3m p/EDAN","160108200.00","","1","1","28803"
"1501004","Turbina para BPAP BMC G3 M3+","291000.00","441000.00","1","1","28792"
"1501006","TURBINA NP1-TKD PARA G1","0.00","","1","1","28792"
"1502016","PLACA INOGEN G4","0.00","","1","1","28784"
"1504005","Canister zeolita LONGFIAN JAY-5AW","0.00","","1","1","28922"
"1505003","COOLER  KONSUNG","0.00","","1","1","28876"
"1505004","COOLER LONGFIAN JAY","0.00","","1","1","28876"
"1519001","ELECTROVÁLVULA LONGFIAN JAY-5/JAY-10","0.00","","1","1","28875"
"1519004","VÁLVULA PILOT EVERFLO","0.00","","1","1","28785"
"1519006","ELECTROVÁLVULA LONGFIAN JAY-5Q","0.00","","1","1","28875"
"ME-043","CABLE DOBLE8","2910.00","10290.00","1","1","28918"
"MP-013","PLACA DE CONTROL","58200.00","","1","1","28784"
"PK001","Pack baterías NI-CD 6X1800 mA","0.00","","1","1","28898"
"PS-062","SOPORTE RUEDAS LONGFIAN JAY-5","0.00","","1","1","28826"
"R11391","Turbina (eje 5mm) PC-307","58200.00","","1","1","28792"
"SC-104","PLACA PRINCIPAL BPAP 30T","242504.85","367500.00","1","1","28875"
"SC-111","CABLEADO MOTOR","0.00","","1","1","28918"
"SP507","FILTRO PART.MEDIAS CONC.REPIRONICS MILLENIUM (EXTERNO)","2619.00","3175.20","1","1","28867"
"SP700","Placa base G4","203000.00","304500.00","1","1","28784"
