os,quote_id,quote_item_id,tipo,descripcion,qty,precio_u,repuesto_id,repuesto_codigo,costo_u_neto
28788,8454,3633,mano_obra,Mano de obra,1.00,18588.00,,,
28788,8454,3634,repuesto,Vacuómetro,1.00,52852.50,,,
28792,8457,3636,repuesto,TURBINA,1.00,217500.00,,,
28875,8488,3651,repuesto,Ceolitas,1.00,195750.00,,,
28875,8488,3652,repuesto,Electroválvulas,1.00,20000.00,,,
28875,8488,3653,repuesto,PLACA PRINCIPAL AIRSEP,1.00,67000.00,9142,1502012,29200.00
28876,8471,3644,repuesto,Ceolita,1.00,176175.00,,,
28876,8471,3645,repuesto,Cooler,1.00,50000.00,,,
28907,8508,3670,repuesto,Ceolitas,1.00,176175.00,,,
28907,8508,3671,repuesto,Base plastica,1.00,45000.00,,,
28907,8508,3672,mano_obra,Mano de obra,1.00,22962.00,,,
28908,8512,3679,repuesto,Ceolitas,1.00,195750.00,,,
28922,8515,3747,repuesto,Cooler 220V,1.00,35000.00,,,
28922,8515,3748,repuesto,CANISTER CEOLITA JAY 5 (EL PAR),1.00,176782.50,563,1504004,130950.00
