os,fecha_entrega,fecha_reparado,fecha_liberado,estado_actual,resolucion,presupuesto_estado,presupuesto_fecha_aprobado,cliente,tipo_equipo,marca,modelo,variante,numero_serie,numero_interno,motivo,descripcion_problema,trabajos_realizados,comentarios,quote_id,presupuesto_items_cant,presupuesto_items_detalle
28472,2025-12-01 11:32:00,2025-09-24 10:01:12,2025-11-26 10:35:56,entregado,reparado,aprobado,2025-12-30 10:54:32,OXIGENOTERAPIA LOMAS S.A,CONCENTRADOR DE OXÍGENO,Longfian,JAY-5,"",MZJ5S121218,"",otros,"",cambio de labios - cambio de filtros - cambio de ceolita - cambio de tapa - control de funcionamiento ok,"",8293,2,1.00 x Ceolitas || 1.00 x Mano de obra
28563,2025-12-01 12:57:00,2025-10-02 17:20:51,2025-12-01 10:50:06,entregado,reparado,aprobado,2025-12-01 10:50:04,OXICASTHOMECARE,CONCENTRADOR DE OXÍGENO,AirSep,NewLife Elite,5L,N5154106,"",baja alquiler,cambioo de filtros - limpieza interna externa - control de funcionamiento ok - concentra en 5l 92/3.4,"","",8291,1,1.00 x Mano de obra
28615,2025-12-01 14:38:13,,2025-11-19 08:54:25,entregado,reparado,aprobado,2025-11-13 14:58:17,SIED,AUTO CPAP,BMC,AUTO CPAP G2S,G2S,ES423701062,"",reparación,equipo no muestra imagen,"placa dañada muy probable por ingreso de liquido en interior del equipo - se encontraron pequeñas gotas ya secas de agua - turbina ok - requiere cambio de placa

Descuento aplicado del 12%","",8314,2,1.00 x Placa || -0.12 x Descuento
28761,2025-12-03 15:48:00,,2025-12-03 14:50:30,entregado,reparado,aprobado,2025-12-03 14:50:29,RESPIROXS,POLÍGRAFO,BMC,PolyWatch YH-600B,PRO,S2D16C01027,"",reparación,Pantalla con poco brillo y con color calido - no enciende correctamente- equipo no funciona correctamente con la microsd que trajo el cliente,"sin repuestos de display, de igual forma la pantalla es legible y visible - el equipo no funciona correctamente con la sd del cliente porque la misma tiene el almacenamiento lleno con los archivos que no corresponden a los del equipo, por esa razón el equipo no reconoce la sd - equipo no encendia y a veces si por falso contacto - se corrigió el falso contacto y enciende con normalidad- se formateo la micro sd - control de funcionamiento con microsd formateada ok ","accesorios: cable usb ns: 201503a472
correa
par de latiguillos",8433,1,1.00 x Mano de obra
28694,2025-12-04 14:34:02,,2025-11-20 11:52:19,entregado,reparado,aprobado,2025-11-20 11:52:19,SICOMED,ASPIRADOR QUIRÚRGICO,Yuwell,7A-23B,"",200810301,"",reparación,"Ingreso de líquido al interior por mal uso de frascos o mala conexión de mangueras al frasco.

desarme completo de bomba de vacío, limpieza y desinfección de bomba, flapers, circuito de entrada motor, se encuentra en el interior sangre y mas fluidos, se detalla en fotos.","limpieza, desinfeccion, desarme por completo de boma de vacio y motor, control de funcionamiento.","NO TIENE FRASCO, CON PEDAL",8323,1,1.00 x Mano de obra
28777,2025-12-04 17:30:52,,2025-12-04 12:35:53,entregado,reparado,aprobado,2025-12-04 12:42:53,RESPIFLOW,ASPIRADOR,Movi-vac,A-500,"",C9-1449,"",reparación,NO FUNCIONA A BATERIAS,CAMBIO DE FUSE MINI FICHA CARGA DE BATERIAS Y CONTROL DE FUNCIONAMIENTO,"",8446,1,1.00 x Mano de obra
26362,2025-12-05 00:00:00,,,entregado,reparado,presupuestado,,TMD,CONCENTRADOR DE OXÍGENO,Longfian,JAY-5Q,"",MZJ5S318574,"",otros,"reemplazo de tamiz ciolita, filtros nuevos, control de funcionamiento.","Piezas reemplazadas: 
","",5652,1,1.00 x Repuestos
28772,2025-12-05 15:46:06,,2025-12-05 13:58:56,entregado,reparado,aprobado,2025-12-05 13:58:54,MECATRONIX,ASPIRADOR A BATERÍAS,Movi-vac,A-550,"",a8-0466,"",urgente control,ROTURA GABINETE,DESARME TOTAL REEMPLAZO DE GABINETE PROVISION DE SOPORTE DE BATERIAS PROVISION DE ETIQUETA FRENTE CONTROL 1 JACK CONTROL DE FUNCIONAMIENTO M/O 3 HS,"",8441,1,1.00 x Mano de obra
28773,2025-12-05 15:46:42,,2025-12-05 13:34:37,entregado,reparado,aprobado,2025-12-05 13:34:35,MECATRONIX,ASPIRADOR A BATERÍAS,Movi-vac,A-550,"",B6-0837,"",reparación,SOPORTE MOTOR SUELTO,AJUSTE DE MOTOR. CAMBIO DE TORNILLOAS DE FIJACION MOTOR CONTROL DE FUNCIONAMIENTO AJUSTE DE CARGA DE BATERIAS,"",8448,1,1.00 x Mano de obra
28673,2025-12-09 06:14:00,,2025-12-05 16:33:15,entregado,reparado,aprobado,2025-12-05 16:33:14,TMD,CONCENTRADOR DE OXÍGENO,Konsung,KSOC-5,"",MA23031000020,"",reparación,"ingreso por problemas con el ciclado de la válvula y un error E05 que indica que el equipo tiene alta presión, esto debido a que tenia la zeolita tapada y evitaba el correcto funcionamiento del equipo",cambio de zeolita - cambio de filtros - cambio de carcasa frontal,"",8354,1,1.00 x Ce0olitas
