ingreso_id,set_entregado,fecha_entrega,set_alquilado,new_numero_serie
25827,0,,0,
25826,0,,0,
25824,0,,0,
25619,1,2024-01-19T00:00:00,0,
25971,0,,0,
26061,0,,0,
26208,0,,1,
25973,1,2024-01-16T00:00:00,0,
26337,0,,0,
26333,0,,0,
26739,1,2024-01-03T00:00:00,0,
26738,0,,0,
26758,0,,1,
26777,0,,0,
26495,0,,0,
25844,1,,1,
25850,1,,1,
25925,0,,1,
26298,1,,0,
26929,0,,0,
26927,0,,0,
25980,0,,1,
26262,0,,0,
26519,0,,0,
26021,0,,0,
27008,0,,0,
26015,0,,0,
26019,0,,0,
27007,0,,0,
27004,0,,0,
26020,0,,0,
26873,0,,0,
26343,0,,0,
25836,0,,0,
26680,0,,0,
26555,0,,0,
26022,0,,0,
26018,0,,0,
26290,0,,0,
25903,0,,1,
25774,1,,1,
25768,1,2024-10-29T00:00:00,0,
26382,1,2024-10-29T00:00:00,0,
26750,0,,0,
26529,0,,1,
26582,0,,1,
26190,0,,1,
25657,0,,1,
26319,1,,0,
26931,1,,0,
26359,1,2024-07-26T00:00:00,0,
26071,0,,0,
26560,1,2024-07-12T00:00:00,0,
26824,0,,0,
26874,0,,0,
26981,0,,0,
25831,0,,1,
25957,0,2025-09-10T00:00:00,0,
25970,0,,0,
26390,0,,1,
26534,1,,1,
26661,0,,1,
26744,0,,1,
26779,1,,1,
26846,0,,0,
26793,0,,0,
26919,0,,1,
26514,0,,0,
26698,0,,0,
26753,0,,0,
26025,0,,1,
25778,0,,0,
26028,1,,0,
26030,1,2024-01-30T00:00:00,0,
26014,0,,0,
26017,0,,0,
26024,0,,0,
26342,0,,0,
26423,0,,0,
26513,0,,0,
26791,0,,0,
26410,0,,0,
26892,0,,0,
26933,0,,0,
26773,0,,0,
26334,0,,0,
