id,customer_id,marca_id,model_id,numero_serie,propietario,garantia_bool,etiq_garantia_ok,n_de_control,alquilado
"14","1","1","1","1234",,"f",,,"f"
"15","1","1","1","123",,"f",,,"f"
"48","5","3","3","123454",,"f",,,"f"
"49","1","1","1","12543542",,"f",,,"f"
"50","1","5","5","lasdkl312",,"f",,,"f"
"51","5","1","1",,,"f",,,"f"
"52","5","2","2","123134",,"f",,,"f"
"53","1","4","4","cls123",,"f",,,"f"
"54","1","5","5","prueba123",,"f",,,"f"
"55","1","1","1","prueba234",,"f",,,"f"
"1","1","1","1","SN-DEMO-3",,"f",,,"f"
"56","5","4","4","mon123",,"f",,"MG","f"
"57","1","1","1","Ns12345",,"t",,"MG 1234","f"
"58","6","1","8","BP1234",,"f",,,"f"
"59","6","1","8","BPL123",,"f",,,"f"
