id,ingreso_id,de_estado,a_estado,usuario_id,ts,comentario
"1","1",,"ingreso","1","2025-08-13 12:27:01.074891-03","Creación de ticket"
"2","12",,"ingresado","2","2025-08-20 09:19:30.631118-03","Creación de ingreso"
"3","13",,"ingresado","2","2025-08-20 09:49:37.211823-03","Creación de ingreso"
"4","14",,"ingresado","2","2025-08-20 10:13:16.013096-03","Creación de ingreso"
"37","47",,"ingresado","2","2025-08-20 11:46:35.437355-03","Creación de ingreso"
"38","48",,"ingresado","2","2025-08-20 17:57:00.974015-03","Creación de ingreso"
"39","49",,"ingresado","2","2025-08-20 17:58:26.217356-03","Creación de ingreso"
"40","47","ingresado","derivado","2","2025-08-22 13:50:34.501153-03","Cambio de estado"
"41","50",,"ingresado","2","2025-09-03 11:01:52.21189-03","Creación de ingreso"
"42","49","ingresado","asignado","2","2025-09-03 14:55:14.115488-03","Cambio de estado"
"43","49","asignado","diagnosticado","2","2025-09-03 14:55:14.115488-03","Cambio de estado"
"44","51",,"ingresado","2","2025-09-03 15:09:21.833527-03","Creación de ingreso"
"45","51","ingresado","asignado","2","2025-09-03 15:11:36.403329-03","Cambio de estado"
"46","51","asignado","diagnosticado","2","2025-09-03 15:11:36.403329-03","Cambio de estado"
"47","52",,"ingresado","2","2025-09-04 10:00:51.197258-03","Creación de ingreso"
"48","53",,"ingresado","7","2025-09-04 10:33:59.434827-03","Creación de ingreso"
"49","53","ingresado","asignado","7","2025-09-04 11:15:30.217229-03","Cambio de estado"
"50","53","asignado","diagnosticado","7","2025-09-04 11:15:30.217229-03","Cambio de estado"
"51","52","ingresado","emitido","2","2025-09-04 17:33:06.229499-03","Cambio de estado"
"52","52","emitido","reparado","2","2025-09-04 17:33:06.311782-03","Cambio de estado"
"53","52","reparado","entregado","2","2025-09-04 17:33:06.313272-03","Cambio de estado"
"54","53","diagnosticado","reparado","7","2025-09-04 17:57:50.055345-03","Cambio de estado"
"56","53","reparado","listo_retiro","7","2025-09-05 09:04:06.443069-03","Cambio de estado"
