id,device_id,estado,motivo,fecha_ingreso,sala_origen,ubicacion_id,disposicion,informe_preliminar,accesorios,remito_ingreso,recibido_por,comentarios,presupuesto_estado,asignado_a,etiqueta_qr,propietario_nombre,propietario_contacto,propietario_doc,descripcion_problema,trabajos_realizados,fecha_servicio,resolucion,garantia_reparacion,faja_garantia,remito_salida,factura_numero,fecha_entrega,alquilado,alquiler_a,alquiler_remito,alquiler_fecha
"61","59","reparado","urgente control","2025-09-10 17:35:46.561014-03",,"1","normal","","",,"2",,"aprobado","10",,,,,"falla en turbina - equipo infectado con bichos en su interior - placa quemada - carcaza quemada - display derretido - carcaza de turbina destruida","cambio de equipo","2025-09-10 17:36:00-03",,"f","f9123",,,,"f",,,
"1","1","ingreso","reparación","2025-08-13 12:27:01.074891-03",,"1","normal","Ingreso de prueba",,,"1",,"pendiente","2",,,,,"","","2025-09-09 14:21:00-03",,"f",,,,,"f",,,
"47","15","listo_retiro","reparación","2025-08-20 11:46:35.437355-03",,"1","normal","","",,"2",,"aprobado",,,,,,"asdasda","asdsada","2025-09-05 11:19:00-03","reparado","f",,,,,"f",,,
"13","14","ingresado","reparación","2025-08-20 09:49:37.211823-03",,"1","normal","","",,"2",,"pendiente",,,,,,,,,,"f",,,,,"f",,,
"52","51","entregado","reparación","2025-09-04 10:00:51.197258-03",,"1","normal","","",,"2",,"pendiente",,,,,,"asdsa","asdasd","2025-09-04 19:34:00-03",,"f",,,,,"f",,,
"50","49","reparado","reparación","2025-09-03 11:01:52.21189-03",,"1","normal","no anda","",,"2",,"aprobado","2",,,,,,,,,"f",,,,,"f",,,
"60","58","alquilado","reparación","2025-09-10 16:52:48.456537-03",,"1","normal","NO anda","",,"2",,"aprobado","13",,,,,"Problema","Solución","2025-09-10 16:57:00-03","reparado","f",,"12345",,"2025-09-10 14:04:00-03","t",,,
"57","56","reparar","reparación","2025-09-10 09:01:21.217417-03",,"1","normal","Informe prueba","",,"2",,"aprobado","2",,,,,"Ingreso agua","Cambio de palca","2025-09-10 09:01:00-03",,"f",,,,,"f",,,
"55","54","entregado","reparación","2025-09-08 10:57:11.114624-03",,"1","normal","NO anda","",,"2",,"aprobado","13",,,,,"asdasd","assad","2025-09-08 19:27:00-03","reparado","f",,"123425","123","2025-09-09 08:26:00-03","f",,,
"14","15","ingresado","reparación","2025-08-20 10:13:16.013096-03",,"1","normal","","",,"2",,"presupuestado",,,,,,,,,,"f",,,,,"f",,,
"51","50","reparado","reparación","2025-09-03 15:09:21.833527-03",,"3","normal","","",,"2",,"pendiente","2",,,,,"asd123","asdasdsadas1232121313","2025-09-01 20:01:00-03",,"f",,,,,"f",,,
"56","55","ingresado","urgente control","2025-09-09 12:33:56.239596-03",,"5","normal","","",,"2",,"pendiente","2",,,,,,,,,"f",,,,,"f",,,
"49","48","diagnosticado","reparación","2025-08-20 17:58:26.217356-03",,"2","normal","","",,"2",,"pendiente","2",,"lautaro",,,"asdasdsad","asdsadadasdsa","2025-09-03 15:04:00-03",,"f",,,,,"f",,,
"48","14","ingresado","reparación","2025-08-20 17:57:00.974015-03",,"1","normal","","",,"2",,"pendiente",,,"Lautaro",,,"","","2025-09-09 14:28:00-03",,"f",,,,,"f",,,
"12","14","ingresado","reparación","2025-08-20 09:19:30.631118-03",,"1","normal","","",,"2",,"pendiente",,,,,,"","","2025-09-09 14:30:00-03",,"f",,,,,"f",,,
"53","52","entregado","reparación","2025-09-04 10:33:59.434827-03",,"1","normal","","",,"7",,"aprobado","2",,,,,"asdasd","asdsad","2025-09-04 13:15:00-03","reparado","f",,,,,"f",,,
"58","57","reparar","reparación","2025-09-10 12:12:50.934918-03",,"1","normal","De todo","",,"2",,"aprobado","10",,,,,,,,,"f",,,,,"f",,,
"59","53","diagnosticado","reparación","2025-09-10 15:47:22.256161-03",,"1","normal","","",,"2",,"pendiente","13",,,,,"asdsa","asdsa","2025-09-10 15:48:00-03",,"t",,,,,"f",,,
"54","53","entregado","reparación","2025-09-07 11:31:13.761987-03",,"1","normal","","",,"2",,"aprobado","2",,,,,"","","2025-09-08 14:28:00-03","reparado","t",,"asdasd","asdsad","2025-09-10 12:54:00-03","f",,,
