id,quote_id,tipo,descripcion,qty,precio_u,repuesto_id
"3","8","repuesto","turbina","1.00","12000.00",
"4","8","repuesto","carcasa","1.00","50000.00",
"5","8","mano_obra","Mano de obra","1.00","30000.00",
"6","9","repuesto","turbina","1.00","12000.00",
"7","9","repuesto","carcaza","1.00","10000.00",
"8","9","mano_obra","Mano de obra","1.00","10000.00",
"9","10","repuesto","asdsad","1.00","1.00",
"10","10","mano_obra","Mano de obra","1.00","1.00",
"11","11","repuesto","asds","1.00","1.00",
"12","12","repuesto","123","1.00","1.00",
"13","13","repuesto","asdasd","1.00","1.00",
"14","13","mano_obra","Mano de obra","1.00","12.00",
"15","14","repuesto","turbina","1.00","10000.00",
"16","14","mano_obra","Mano de obra","1.00","10000.00",
"17","18","repuesto","asdasd","1.00","111.00",
"18","18","mano_obra","Mano de obra","1.00","0.01",
"19","16","repuesto","asda","1.00","11.00",
"20","16","repuesto","asdsad","1.00","0.00",
"21","16","mano_obra","Mano de obra","1.00","0.12",
"22","20","repuesto","asdasd","1.00","1111.00",
"23","20","repuesto","qwewqe","1.00","1212.00",
"24","20","repuesto","123213","2.00","123.00",
"25","20","mano_obra","Mano de obra","1.00","123123.00",
"26","22","repuesto","equipo nuevo","1.00","1200.00","99"
"27","22","mano_obra","Mano de obra","1.00","22808.00",
