brand,canonical_model,alias,confidence
AIR SEP,Intensity,INTENSITY 10L,87.83
AIR SEP,Intensity,INTENSITY 8L,90.36
AIR SEP,NEW LIFE,MEW LIFE,100.0
AIR SEP,NEW LIFE,NEW  LIFE,89.58
AIR SEP,NEW LIFE,new ife,100.0
AIR SEP,NEW LIFE,new lfe,90.0
AIR SEP,NEW LIFE,NEW LI FE,85.28
AIR SEP,NEW LIFE,NEW LIFE 5L,85.25
AIR SEP,NEW LIFE,NEW LIFW,86.07
AIR SEP,NEW LIFE,NEWLIFE,100.0
AIR SEP,NEW LIFE,NRWNEW,100.0
AIR SEP,NEW LIFE ELITE,NEWLIFE ELITE,100.0
AIR SEP,Remedy Renew,REMEDY  RENEW,100.0
Aitecs,Sp-125,SP-12S,88.33
BCI,Adulo,adulto,93.79
BMC,25 T,25T,89.52
BMC,Cpap Bpap,CPAP/BPAP,100.0
BMC,G1,G1B,85.56
BMC,G1 25T,G1 25 T,88.81
BMC,G1 25S,G1 25S,93.79
BMC,G1 25T,G1 25T,93.79
BMC,G1 25,G1-25,100.0
BMC,G2S,G2S,85.56
BMC,G2 T25t,G2 Y25T,89.52
BMC,G2S - B25t,G2S B25A,91.25
BMC,G2S - B25t,G2S B25S,91.25
BMC,G2S - B25t,G2S B25T,100.0
BMC,G2S A20,G2S B20V,86.07
BMC,G2S A20,G2S C20,90.0
BMC,G2S A20,G2S-C20,90.0
BMC,G3 A20,G3 C20,87.78
BMC,G3 A20,g3-C20,87.78
BMC,GI,GII,85.56
BMC,GI 25,GI 25T,93.79
BMC,GII T-25s,GII T-25T,92.22
BMC,GII T25a,GII T25S,91.25
BMC,GII T25a,GII T25T,91.25
BMC,GII T25a,GII Y25 - T,85.34
BMC,H 60,H-60,100.0
BMC,H 80M,H-80,92.44
BMC,H 80M,H-80A,86.0
BMC,H 80M,H-80M,100.0
BMC,KIT Respiratorio,KIT RESPIRATORIO POLYWACH,85.42
BMC,Polywach,POLYWATCH,95.95
BMC,Polywach,poylwatch,88.03
BMC,Remstar,remstart,95.42
BMC,Resmart,RESMART G1,88.18
BMC,Resmart,RESMART G2,88.18
BMC,Resmart,RESMART GII,85.25
BMC,Resmart,RESMARTAUTO,85.25
BMC,YH 600b PRO,YH-600 B PRO,96.08
BMC,YH 600b PRO,YH-600 PRO,96.71
BMC,YH 600b PRO,YH-600B,85.25
BMC,YH 600b PRO,YH-600B PRO,100.0
BMC,YH 600b PRO,YH-600BPRO,96.71
Choice,MD 300,MD 300X,94.73
Contec,Cms56000,CMS600,89.94
Contec,Cms56000,CMS6000,95.21
Debilbiss,Succion Unit,UNIC SUCCION,85.48
Debilbiss,Succion Unit,UNIt SUCCION,89.65
E&M,C-12,C-12B,92.44
Easy GO,Pm65,PM65HG,86.67
Edan,M3,M3A,85.56
Edan,SE 1,SE-1,100.0
EI,K 130,k-130,100.0
EI,K 130,K-135,86.0
Ficher & Paykel,HC 150,HC 100,88.33
Ficher & Paykel,HC 150,HC-150,100.0
Ficher & Paykel,Mr 410,MR 810,87.78
Fiorino,7ed,7 ED,89.11
Fiorino,7ed,7-ED,89.11
Fiorino,7ed,7e-d,89.52
Hoffrichter,Vector,VECTOR 20,86.67
Innomed,Iko,iko3,89.94
Intermed,S Modelo,S/MODELO,100.0
Invacare,Perfecto 2,perfecto 5,93.0
