brand_norm,model_norm,cluster_id,canonical_model_norm
,,1,
,ORION,2,ORION
,Y,3,Y
,PINZA ADULTO,4,PINZA ADULTO
,SERIE M,5,SERIE M
,A-550,6,A-550
,A550,6,A-550
,BMC,7,BMC
,PC-307,8,PC-307
,DEVILBISS,9,DEVILBISS
,PLV-100,10,PLV-100
,NEO,11,NEO
,SERIE M LA-101,12,SERIE M LA-101
,RESPIRE,13,RESPIRE
,KANGAROO,14,KANGAROO
,HARMONY,15,HARMONY
,DI-2000,16,DI-2000
,A-600,17,A-600
,PC-305,18,PC-305
,PARA BPAP,19,PARA BPAP
,SPO2,20,SPO2
,AURORA 12,21,AURORA 12
420,,1,
420,420,2,420
ABBOTT,PATROL,1,PATROL
ABBOTT,A-550,2,A-550
AGILENT,A3,1,A3
AGILENT,,2,
AIR SEP,,1,
AIRSEP,NEW LIFE,1,NEW LIFE
AIRSEP,INTENSITY 10L,2,INTENSITY 10L
AIRSEP,INTENSITY,3,INTENSITY
AIRSEP,INTENSITY 8L,4,INTENSITY 8L
AIRSEP,REMEDY RENEW,5,REMEDY RENEW
AIRSEP,5L,6,5L
AIRSEP,NEW LIFE ELITE,7,NEW LIFE ELITE
AIRSEP,VISIONAIRE,8,VISIONAIRE
AIRSEP,S1,9,S1
AIRSEP,VISION,10,VISION
AIRSEP,REMEDY,11,REMEDY
AIRSEP,ELITE II,12,ELITE II
AIRSEP,INFINITI,13,INFINITI
AIRSEP,NEW LIFE 5L,14,NEW LIFE 5L
AITEC,ST-6000,1,ST-6000
AITECS,SP-125,1,SP-125
ALISON,UTI 3,1,UTI 3
ALLIANCE,HEALDINE,1,HEALDINE
ALLIANCE,,2,
APEMA,PC18EBT,1,PC18EBT
APEMA,,2,
APEX,VACU PLUS,1,VACU PLUS
APEX,VAC PLUS,2,VAC PLUS
ARCOMED,5005,1,5005
ARCOMED,VOLUMED,2,VOLUMED
ARGUS,404,1,404
ARGUS,400,2,400
ARGUS,707,3,707
ASD,ASD,1,ASD
BCI,ADULTO,1,ADULTO
BCI,Y,2,Y
BCI,3303,3,3303
BCI,PINZA,4,PINZA
BCI,3100,5,3100
BCI,NEO,6,NEO
BCI,CAPNOCHE CK PLUS,7,CAPNOCHE CK PLUS
BCI,3310,8,3310
BCI,CAPNOCEHK,9,CAPNOCEHK
