brand_norm,cluster_id,canonical_model_norm,members,total
,1,,,83
,2,ORION,ORION,7
,3,Y,Y,4
,4,PINZA ADULTO,PINZA ADULTO,4
,5,SERIE M,SERIE M,4
,6,A-550,A-550 | A550,4
,7,BMC,BMC,2
,8,PC-307,PC-307,2
,9,DEVILBISS,DEVILBISS,2
,10,PLV-100,PLV-100,1
,11,NEO,NEO,1
,12,SERIE M LA-101,SERIE M LA-101,1
,13,RESPIRE,RESPIRE,1
,14,KANGAROO,KANGAROO,1
,15,HARMONY,HARMONY,1
,16,DI-2000,DI-2000,1
,17,A-600,A-600,1
,18,PC-305,PC-305,1
,19,PARA BPAP,PARA BPAP,1
,20,SPO2,SPO2,1
,21,AURORA 12,AURORA 12,1
420,1,,,1
420,2,420,420,1
ABBOTT,1,PATROL,PATROL,1
ABBOTT,2,A-550,A-550,1
AGILENT,1,A3,A3,1
AGILENT,2,,,1
AIR SEP,1,,,19
AIRSEP,1,NEW LIFE,NEW LIFE,1207
AIRSEP,2,INTENSITY 10L,INTENSITY 10L,6
AIRSEP,3,INTENSITY,INTENSITY,5
AIRSEP,4,INTENSITY 8L,INTENSITY 8L,4
AIRSEP,5,REMEDY RENEW,REMEDY RENEW,4
AIRSEP,6,5L,5L,4
AIRSEP,7,NEW LIFE ELITE,NEW LIFE ELITE,3
AIRSEP,8,VISIONAIRE,VISIONAIRE,2
AIRSEP,9,S1,S1,2
AIRSEP,10,VISION,VISION,1
AIRSEP,11,REMEDY,REMEDY,1
AIRSEP,12,ELITE II,ELITE II,1
AIRSEP,13,INFINITI,INFINITI,1
AIRSEP,14,NEW LIFE 5L,NEW LIFE 5L,1
AITEC,1,ST-6000,ST-6000,1
AITECS,1,SP-125,SP-125,7
ALISON,1,UTI 3,UTI 3,1
ALLIANCE,1,HEALDINE,HEALDINE,1
ALLIANCE,2,,,1
APEMA,1,PC18EBT,PC18EBT,1
APEMA,2,,,1
APEX,1,VACU PLUS,VACU PLUS,1
APEX,2,VAC PLUS,VAC PLUS,1
ARCOMED,1,5005,5005,10
ARCOMED,2,VOLUMED,VOLUMED,6
ARGUS,1,404,404,7
ARGUS,2,400,400,5
ARGUS,3,707,707,4
ASD,1,ASD,ASD,1
BCI,1,ADULTO,ADULTO,39
BCI,2,Y,Y,3
BCI,3,3303,3303,2
BCI,4,PINZA,PINZA,1
BCI,5,3100,3100,1
BCI,6,NEO,NEO,1
BCI,7,CAPNOCHE CK PLUS,CAPNOCHE CK PLUS,1
BCI,8,3310,3310,1
BCI,9,CAPNOCEHK,CAPNOCEHK,1
BEAS,1,SLEEP 20,SLEEP 20,1
BIOCARE,1,IE-101,IE-101,3
BIOCARE,2,,,1
BIOCARE,3,101,101,1
BIOMAX,1,500 BAE,500 BAE,1
BIOMAX,2,900,900,1
BIOMED,1,MVP-10,MVP-10,4
BIRD,1,15682,15682,1
BISTOS,1,BT300,BT300,1
BMC,1,GII,GII,315
BMC,2,G2,G2,225
BMC,3,G1,G1,207
BMC,4,RESMART,RESMART,82
BMC,5,G2S,G2S,80
BMC,6,25T,25T,51
BMC,7,G3,G3,40
BMC,8,YH-600B PRO,YH-600B PRO,37
BMC,9,G1B,G1B,29
BMC,10,G2 H60,G2 H60,29
BMC,11,GII T-25T,GII T-25T,24
BMC,12,,,23
BMC,13,REMSTAR,REMSTAR,18
BMC,14,GI,GI,18
BMC,15,POLYWATCH,POLYWATCH,17
BMC,16,RESMART GII,RESMART GII,12
BMC,17,MINI M1,MINI M1,12
BMC,18,G1 25T,G1 25T,11
BMC,19,H-80,H-80,10
BMC,20,G3-C20,G3-C20,10
BMC,21,GII Y-25T,GII Y-25T,10
BMC,22,GII T25S,GII T25S,8
BMC,23,25,25,7
BMC,24,G3 B30VT,G3 B30VT,7
BMC,25,G2S B25S,G2S B25S,6
BMC,26,REMSTART,REMSTART,5
BMC,27,G2S B25T,G2S B25T,5
BMC,28,G3 A20,G3 A20,5
BMC,29,G2S A20,G2S A20,4
BMC,30,H60,H60,4
BMC,31,G2 T25T,G2 T25T,4
BMC,32,AUTO,AUTO,3
BMC,33,RESMART G1,RESMART G1,3
BMC,34,H-80M,H-80M,3
BMC,35,GII T25A,GII T25A,3
BMC,36,G1 25,G1 25,3
BMC,37,KIT DE RESPIRACION,KIT DE RESPIRACION,3
BMC,38,H-80A,H-80A,2
BMC,39,GI-25,GI-25,2
BMC,40,G2S C20,G2S C20,2
BMC,41,CPAP/BPAP,CPAP/BPAP,2
BMC,42,T20S,T20S,2
BMC,43,HG2 H60,HG2 H60,2
BMC,44,25ST,25ST,1
BMC,45,CPAP GII,CPAP GII,1
BMC,46,POLYPRO,POLYPRO,1
BMC,47,POLYPRO A,POLYPRO A,1
BMC,48,LUNA G2,LUNA G2,1
BMC,49,KIT RESPIRATORIO POLYWACH,KIT RESPIRATORIO POLYWACH,1
BMC,50,KIT RESPIRATORIO,KIT RESPIRATORIO,1
BMC,51,RESMART G1 25T,RESMART G1 25T,1
BMC,52,RESMART G2,RESMART G2,1
BMC,53,50,50,1
BMC,54,GI 25T,GI 25T,1
BMC,55,GRIS,GRIS,1
BMC,56,GIIS C-20,GIIS C-20,1
BMC,57,MINI,MINI,1
BMC,58,RESMART AUTO,RESMART AUTO,1
BMC,59,BLANCO,BLANCO,1
BMC,60,POLYWATCH YH-6000B PRO,POLYWATCH YH-6000B PRO,1
BMC,61,G2S B25A,G2S B25A,1
BMC,62,G1 25S,G1 25S,1
BMC,63,G2S B20V,G2S B20V,1
BMC,64,T25A,T25A,1
BMC,65,G2 Y25T,G2 Y25T,1
BMC,66,M1,M1,1
BMC,67,HC-3,HC-3,1
BMD,1,FLO-DISC MVP-10,FLO-DISC MVP-10,1
BMG,1,,,2
BMP,1,INVP-10,INVP-10,1
BMXC,1,G1,G1,1
BREAS,1,SLEEP,SLEEP,5
BREAS,2,,,1
BREAS,3,GEISLEEP 20I,GEISLEEP 20I,1
BREAS,4,SLEEP 20 I,SLEEP 20 I,1
BS ELECTRONICS,1,,,1
CAIRE OCS Y COMPANION 5,1,,,1
CAM,1,,,1
CARDIMAX,1,FUKUDA,FUKUDA,2
CARDIOTECNICA,1,OXI-411,OXI-411,1
CARDIOTECNICA,2,RG-401,RG-401,1
CARDIOTECNICA,3,,,1
CARDIOTECNICO,1,,,1
CAS,1,,,2
CAS,2,SYSTEM 9303,SYSTEM 9303,1
CHOICE,1,MMED6000DP,MMED6000DP,3
CHOICE,2,MD 300X,MD 300X,1
CHOICE,3,MD-300,MD-300,1
CLOUD,1,,,2
CODE MASTER,1,,,1
COLIN,1,PRELIGY 2,PRELIGY 2,1
COMP EDAN,1,ADULTO,ADULTO,1
COMP MEDITECH,1,ADULTO,ADULTO,1
COMPANION,1,COMPANION,COMPANION,1
COMPAT,1,,,2
CONTEC,1,ADULTO,ADULTO,5
CONTEC,2,,,5
CONTEC,3,CMS600,CMS600,1
CONTEC,4,CMS56000,CMS56000,1
CONTEC,5,CMS6000,CMS6000,1
CORIONIC,1,MONITOR FETAL,MONITOR FETAL,1
CORIONIC,2,,,1
CORIONIC,3,CM2 2,CM2 2,1
CORIONIK,1,,,3
COVIDIEN,1,PB560,PB560,3
COVIDIEN,2,EPUMP,EPUMP,1
COVIDIEN,3,DS100A,DS100A,1
DATEX,1,SATLITE TRANS,SATLITE TRANS,2
DATEX,2,OHMEDA,OHMEDA,1
DATEX,3,SATLITE,SATLITE,1
DEAN,1,,,1
DEBILBISS,1,,,15
DEVILBIIS,1,,,1
DEVILBIISS,1,,,1
DEVILBIS,1,,,2
DEVILBISS,1,,,29
DEVILBISS,2,SUCCION UNIT,SUCCION UNIT,22
DEVILBISS,3,VACU-AIDE,VACU-AIDE,19
DEVILBISS,4,525,525,17
DEVILBISS,5,515,515,14
DEVILBISS,6,7305,7305,10
DEVILBISS,7,VACUMAX,VACUMAX,8
DEVILBISS,8,HSU,HSU,4
DEVILBISS,9,UNIC SUCCION,UNIC SUCCION,4
DEVILBISS,10,SUNRISE,SUNRISE,3
DEVILBISS,11,9000D,9000D,3
DEVILBISS,12,HEALTCARE,HEALTCARE,2
DEVILBISS,13,UNIT SUCCION,UNIT SUCCION,2
DEVILBISS,14,PI,PI,1
DEVILBISS,15,9055,9055,1
DEVILBISS,16,SUCTION,SUCTION,1
DEVILBISS,17,12 V,12 V,1
DEVILBISS,18,515 IZ,515 IZ,1
DEVILBISS,19,DEVILBISS,DEVILBISS,1
DEVILBISS,20,INTELLIPAP,INTELLIPAP,1
DEVILBISS,21,INTELILLENT PAP,INTELILLENT PAP,1
DEVILBISS,22,7314P-D,7314P-D,1
DEVILVIS,1,,,1
DRAGER,1,DRAGER,DRAGER,1
DRAGUER,1,,,2
DRAGUER,2,OXYTREND,OXYTREND,2
DULOVAK,1,DK-720,DK-720,2
DULOVAK,2,,,1
E Y M,1,C-12B,C-12B,1
E&M,1,C-12B,C-12B,6
EAGLE,1,3000,3000,1
EASOTE,1,P8000,P8000,1
