Id,Marca,Modelo,brand_norm,brand_canonical,model_norm,cluster_id,canonical_model_norm
15173,SAMTRONIC,ST-1000 SET,SAMTRONIC,Samtronic,ST-1000 SET,1,ST-1000 SET
15174,NELLCOR,N-595,NELLCOR,Nellcor,N-595,2,N-595
15175,AIRSEP,NEW LIFE,AIRSEP,AirSep,NEW LIFE,1,NEW LIFE
15176,DEVILBISS,525,DEVILBISS,Devilbiss,525,4,525
15177,NELLCOR,Y,NELLCOR,Nellcor,Y,6,Y
15178,SILFAB,N-33A,SILFAB,Silfab,N-33A,1,N-33A
15179,SILFAB,N-33A,SILFAB,Silfab,N-33A,1,N-33A
15180,SILFAB,N-33A,SILFAB,Silfab,N-33A,1,N-33A
15181,SILFAB,N-33A,SILFAB,Silfab,N-33A,1,N-33A
15182,SILFAB,N-33A,SILFAB,Silfab,N-33A,1,N-33A
15183,SILFAB,N-33A,SILFAB,Silfab,N-33A,1,N-33A
15184,MOVI-VAC,A-550,MOVI-VAC,Movi-Vac,A-550,1,A-550
15185,AIRSEP,NEW LIFE,AIRSEP,AirSep,NEW LIFE,1,NEW LIFE
15186,NELLCOR,N-600,NELLCOR,Nellcor,N-600,4,N-600
15187,NELLCOR,N-600,NELLCOR,Nellcor,N-600,4,N-600
15188,NELLCOR,N-600X,NELLCOR,Nellcor,N-600X,8,N-600X
15189,NELLCOR,N-600X,NELLCOR,Nellcor,N-600X,8,N-600X
15190,NELLCOR,N-600X,NELLCOR,Nellcor,N-600X,8,N-600X
15191,NELLCOR,N-600X,NELLCOR,Nellcor,N-600X,8,N-600X
15192,NELLCOR,N-600X,NELLCOR,Nellcor,N-600X,8,N-600X
15193,NELLCOR,N-600X,NELLCOR,Nellcor,N-600X,8,N-600X
15194,SAMTRONIC,ST-550 T2,SAMTRONIC,Samtronic,ST-550 T2,4,ST-550 T2
15195,SAMTRONIC,ST-550 T2,SAMTRONIC,Samtronic,ST-550 T2,4,ST-550 T2
15196,SAMTRONIC,ST-550 T2,SAMTRONIC,Samtronic,ST-550 T2,4,ST-550 T2
15197,SAMTRONIC,ST-550 T2,SAMTRONIC,Samtronic,ST-550 T2,4,ST-550 T2
