os_id,fecha_ingreso,fecha_entrega,cliente,marca,modelo,tipo_equipo,numero_interno,numero_serie,variante,descripcion_problema,trabajos_realizados
28044,2025-06-26 00:00:00-03,2025-09-17 00:00:00-03,MGBIO,Nellcor,N-560,oxímetro de pulso,MG 2633,11507040035,,cambio de bateria degradada - cambio de frente por rotura- control de funcionamiento ok,"Piezas reemplazadas: 
"
28045,2025-06-26 00:00:00-03,2025-07-22 00:00:00-03,NOVAMED S.A.,Konsung,9E,ASPIRADOR A BATERÍAS,,MA22030060036,,ajuste y lubricacion de bomba - control de funcionamiento ok,"Piezas reemplazadas: 
"
28046,2025-06-26 00:00:00-03,,NOVAMED S.A.,BMC,CPAP G1,CPAP,MG 4966,CTX1799J069,RESMART,control de funcinamiento ok,"Piezas reemplazadas: 
"
28048,2025-06-26 00:00:00-03,,MGBIO,Longfian,JAY-10,CONCENTRADOR DE OXÍGENO,MG 7096,MG 7096,,,
28049,2025-06-26 00:00:00-03,2025-08-19 00:00:00-03,MGBIO,Nellcor,N-595,oxímetro de pulso,MG 6697,G0588065,,cambio de bateria - control de funcionamiento ok,"Piezas reemplazadas: 
"
28085,2025-06-26 00:00:00-03,,PRAXAIR ARG.,BMC,CPAP G2,CPAP,MG 4167,E2118C01068,,control de funcionamiento (tecnico :lucas humerez),"Piezas reemplazadas: 
"
28086,2025-06-26 00:00:00-03,,PRAXAIR ARG.,BMC,CPAP G2,CPAP,MG 6118,E2120301147,,,
28087,2025-06-26 00:00:00-03,,PRAXAIR ARG.,BMC,CPAP G2,CPAP,MG 5836,E2120301246,,"control de funcionamiento ok(tecnico:lucas humerez)
SE USO PLACA DE REPUESTO PARA EL EQUIPO ES122607189","Piezas reemplazadas: SE DA DE BAJA
"
28088,2025-06-26 00:00:00-03,,PRAXAIR ARG.,BMC,CPAP G2,CPAP,MG 6389,E2120705455,,control ok,"Piezas reemplazadas: 
"
28089,2025-06-26 00:00:00-03,,PRAXAIR ARG.,BMC,CPAP G2,CPAP,MG 6367,E2120705458,,control de funcionamiento ok(tecnico:lucas humerez),"Piezas reemplazadas: 
"
28090,2025-06-26 00:00:00-03,2025-07-15 00:00:00-03,PRAXAIR ARG.,BMC,CPAP G2,CPAP,MG 6460,E2120706374,,control de funcionamiento ok(tecnico:lucas humerez),"Piezas reemplazadas: 
"
28091,2025-06-26 00:00:00-03,,PRAXAIR ARG.,BMC,CPAP G2,CPAP,MG 5384,ES119201228,,control de funcionamiento ok(tecnico:lucas humerez),"Piezas reemplazadas: 
"
28092,2025-06-26 00:00:00-03,,PRAXAIR ARG.,BMC,CPAP G2,CPAP,MG 5390,ES119301038,,control de funcionamiento ok(tecnico:lucas humerez),"Piezas reemplazadas: 
"
28093,2025-06-26 00:00:00-03,,PRAXAIR ARG.,BMC,CPAP G2,CPAP,MG 5380,ES119602049,,control de funcionamiento ok(tecnico:lucas humerez),"Piezas reemplazadas: 
"
28094,2025-06-26 00:00:00-03,,PRAXAIR ARG.,BMC,CPAP G1,CPAP,MG 6182,CSX19C1K219,RESMART,control de funcionamiento ok,"Piezas reemplazadas: 
"
28095,2025-06-26 00:00:00-03,2025-07-04 00:00:00-03,MGBIO,Philips Respironics,IN 171,CPAP,MG 3027,P133517196B16,,EQUIPOP OBSOLETO,"Piezas reemplazadas: 
"
28096,2025-06-26 00:00:00-03,2025-07-04 00:00:00-03,MGBIO,Philips Respironics,IN 171,CPAP,MG 3070,P133517813046,,EQUIOPO OBSOLETO,"Piezas reemplazadas: 
"
28097,2025-06-26 00:00:00-03,2025-07-04 00:00:00-03,PRAXAIR ARG.,Philips Respironics,Serie M,BPAP,MG 1630,M003680362,,EQUIPO OBSOLETO,"Piezas reemplazadas: 
"
28098,2025-06-26 00:00:00-03,2025-07-04 00:00:00-03,MGBIO,Philips Respironics,Serie M,BPAP,MG 1643,M003746193,,EQUIPO OBSOLETO,"Piezas reemplazadas: 
"
28099,2025-06-26 00:00:00-03,2025-07-22 00:00:00-03,PRAXAIR ARG.,BMC,CPAP G1,CPAP,MG 3726,BTX165F7307,RESMART,control de funcionamiento ok - se uso turbina y placa para repuesto del equipo BTX16B55072,"Piezas reemplazadas: SE DA DE BAJA
"
28100,2025-06-26 00:00:00-03,,MGBIO,Nellcor,N-395,OXÍMETRO DE PULSO,MG 3250,G02825778,,,
28101,2025-06-26 00:00:00-03,,MGBIO,Nellcor,N-595,oxímetro de pulso,MG 1521,G02851259,,,
28102,2025-06-26 00:00:00-03,,PRAXAIR ARG.,BMC,CPAP G2,CPAP,MG 4668,H2117902065,,,
28103,2025-06-26 00:00:00-03,,PRAXAIR ARG.,BMC,CPAP G2,CPAP,MG 4172,H2118A04085,,,
28104,2025-06-26 00:00:00-03,,PRAXAIR ARG.,BMC,CPAP G2,CPAP,MG 5863,H2120105204,,,
28105,2025-06-26 00:00:00-03,2025-08-27 00:00:00-03,PRAXAIR ARG.,BMC,CPAP G2,CPAP,MG 5547,H2120222241,,control de funcionamiento ok,"Piezas reemplazadas: 
"
28106,2025-06-26 00:00:00-03,,PRAXAIR ARG.,BMC,CPAP G2,CPAP,MG 5873,H2120222335,,control de funcionamiento ok(tecnico:lucas humerez),"Piezas reemplazadas: 
"
28107,2025-06-26 00:00:00-03,,PRAXAIR ARG.,BMC,CPAP G1,CPAP,MG 5061,BJD18541073,RESMART,control de funcionamiento ok,"Piezas reemplazadas: 
"
28108,2025-06-26 00:00:00-03,2025-07-14 00:00:00-03,PRAXAIR ARG.,Marbel,C-500,CALENTADOR HUMIDIFICADOR,MG 3696,C8-1308,,CONTROLADO OK,"Piezas reemplazadas: 
"
28109,2025-06-26 00:00:00-03,2025-08-11 00:00:00-03,PRAXAIR ARG.,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,MG 6414,MZJ5S121196,,cambio de filtros - limpieza intrerna - control de funcionamiento ok,"Piezas reemplazadas: 
"
28110,2025-06-26 00:00:00-03,2025-07-08 00:00:00-03,PRAXAIR ARG.,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,MG 6435,MZJ5S121379,,"cambio de filtros - limieza del equipo - control de funcionamiento ok

(lo hizo juan)","Piezas reemplazadas: 
"
28111,2025-06-26 00:00:00-03,2025-08-18 00:00:00-03,PRAXAIR ARG.,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,MG 6436,MZJ5S121380,,"cambo de filtros - control y limpieza

(lo hizo juan)","Piezas reemplazadas: 
"
28112,2025-06-26 00:00:00-03,2025-08-11 00:00:00-03,PRAXAIR ARG.,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,MG 5028,MZJ5S121802,,cambio de ceolita - control de funcionamiento ok,"Piezas reemplazadas: 
"
28113,2025-06-26 00:00:00-03,,PRAXAIR ARG.,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,MG 5025,MZJ5S121833,,"cambio de ceolita - cambio de tecla- control de funcionamiento ok

(lo hizo juan)","Piezas reemplazadas: 
"
28114,2025-06-26 00:00:00-03,2025-07-28 00:00:00-03,MGBIO,Longfian,JAY-5Q,CONCENTRADOR DE OXÍGENO,MG 5121,MZJ5S121985,,"cambio de ceolita - cambio de filtros  - control de funcinamento ok

(lo hizo juan)","Piezas reemplazadas: 
"
28115,2025-06-26 00:00:00-03,2025-07-22 00:00:00-03,PRAXAIR ARG.,Longfian,JAY-5Q,CONCENTRADOR DE OXÍGENO,MG 5136,MZJ5S122087,,se uso de repuesto,"Piezas reemplazadas: 
"
28116,2025-06-26 00:00:00-03,,PRAXAIR ARG.,Longfian,JAY-5Q,CONCENTRADOR DE OXÍGENO,MG 5120,MG 5120,,cambio de filtros - reemplazo de tira elastica - arreglo de flowmeter - control de funcionamiento ok - concentra 92 en 4l,"Piezas reemplazadas: 
"
28127,2025-06-26 00:00:00-03,,URBANI GUILLERMO,Konsung,KSOC-5,CONCENTRADOR DE OXÍGENO,,MC2200040014,,"control de funcionamiento del equipo en
5L : 84; 4L=92.0 ;3L= 94.6
horas de uso = 1822","Piezas reemplazadas: 
"
28052,2025-06-27 00:00:00-03,,MGBIO,BMC,CPAP G3,CPAP,MG 7063,MG 7063,,cambio de placa por presion oscilatoria,"Piezas reemplazadas: placa NS A3124U05007
"
28053,2025-06-27 00:00:00-03,,MGBIO,Kangaroo,224,BOMBA DE ALIMENTACIÓN,MG 3522,T9320594,,"no carga bateria - gabinete roto.
Se cobra cambio de manija por rotura y la reparación del gabinete","Piezas reemplazadas: CAMBIO DE BATERIAS LOTE 6375, CAMBIO DE MANIJA (ROTURA), REPARACIóN CONTACTO TECLADO, REPARACION CABLE PLANO TECLADO, REPARACIóN DE GABINETE POR ROTURAS""
27069,""reemplazo de ciolita, conector de canister  asiento de valvula (reemplazo por fuga) filtros nuevos, control limpieza."
28054,2025-06-27 00:00:00-03,,MGBIO,Kangaroo,224,BOMBA DE ALIMENTACIÓN,MG 1464,T9022575,,,
28055,2025-06-27 00:00:00-03,2025-07-14 00:00:00-03,SIED,Longfian,JAY-5Q,CONCENTRADOR DE OXÍGENO,,MZJ5S59864,,compresor se detiene constantemente por ceolita tapada - baja concentracion por ceolita obsoleta - control de funcionamiento con ceolita nueva ok - bateria interna de alarma obsoleta,"Piezas reemplazadas: ceolita - bateria interna 3v
"
28081,2025-06-27 00:00:00-03,2025-08-11 00:00:00-03,MGBIO,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,MG 6432,MG 6432,,"cambio de ceolita - cambio de filtros control y limpieza del equipo

(lo hizo juan)","Piezas reemplazadas: 
"
28082,2025-06-27 00:00:00-03,2025-07-08 00:00:00-03,MGBIO,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,MG 4745,MZJ5S121807,,"cambio de filtros - cambio de ceolita - control y limpieza del equipo

(lo hizo juan)","Piezas reemplazadas: 
"
28130,2025-06-27 00:00:00-03,2025-07-23 00:00:00-03,SIED,Kangaroo,324,BOMBA DE INFUSIÓN,,t0124747,,NO CARGA NO FUNCIONA EN 220V,"Piezas reemplazadas: REPARACION ELECTRONICA Y CIRCUITO IMPRESO - CAMBIO DE BATERIAS LOTE 6375, TACO DE GOMA MORDAZA MASTIL""
28057,CONTROL DE FUNCIONAMIENTO,
28131,NO TOMA CARGA LA BATERIA,""CAMBIO DE BATERIA LOTE 6375 , PROVISION DE TACO DE GOMA MORDAZA MASTIL, REPARACION CABLE DE 220 V.""
25915,desguace,
26344,,
27723,cambio de compresor - cambio de filtros - control de funcionamiento,
28150,derivado a intramédica,accesorios: C/CABLE 220V - CABLE ECG - TUBULADURA DE PIN - CABLE SENSOR
27731,SE USO DE REPUESTO,
28017,SE USO DE REPUESTO,
26978,SE USO DE REPUESTO,
25953,,
27018,SE USO DE REPUESTO,
27207,DE BAJA,
27903,""remplazo de mangueras circuito de oxigeno (degradadas) 2 vavulas unidireccionales nuevas, restrictores de magueras nuevos, 1 electrovalvula nueva. reemplazo de cable 220v, limpieza interna externa, filtos."
28131,2025-06-27 00:00:00-03,2025-07-23 00:00:00-03,SIED,Kangaroo,324,BOMBA DE INFUSIÓN,,T0125614,,,
28132,2025-06-27 00:00:00-03,2025-07-23 00:00:00-03,SIED,Kangaroo,324,BOMBA DE INFUSIÓN,,T9422658,,"BATERIAS AGOTADAS, NO TOMAN CARGA","Piezas reemplazadas: CAMBIO DE BATETRIAS LOTE 9419
"
28133,2025-06-27 00:00:00-03,2025-07-23 00:00:00-03,SIED,Kangaroo,324,BOMBA DE INFUSIÓN,,T9218647,,"BATERIA NO TOMA CARGA ROTURA TORNILLO FIJACION MASTIL,  SIN MANIJA,","Piezas reemplazadas: TORNILLO FIJACION MASTIL, PROVISION DE MANIJA - JUEGO DE BATERIAS LOTE 5626""
28075,cambio de labios compresor - cambio de filtros - control y limpieza del equipo,
28054,""ERROR DE FLUJO, FRENTE Y TAPA POSTERIOR GABINETE ROTO, MANIJA FALTANTE"
28134,2025-06-27 00:00:00-03,2025-07-23 00:00:00-03,SIED,Kangaroo,324,BOMBA DE INFUSIÓN,,T0021949,,,
28057,2025-06-30 00:00:00-03,2025-06-06 00:00:00-03,MGBIO,Kangaroo,224,BOMBA DE ALIMENTACIÓN,MG 2312,T9027092,,,
28060,2025-06-30 00:00:00-03,2025-07-07 00:00:00-03,OXECOR SRL,BMC,CPAP G3,CPAP,,B3C23204045,,DESARME Y LIMPIEZA DE SENSORES DE FLUJO - control de funcionamiento ok,"Piezas reemplazadas: 
"
