access_id,access_estado_num,access_informe_final,access_reg_desc,access_marca,access_modelo,access_numero_serie,access_n_de_control,access_baja_sources,access_baja_from_estado,access_baja_from_informe,access_baja_from_reg_desc,sr_estado,sr_ubicacion,sr_is_baja,sr_missing
15189,8,,OK,NELLCOR,N-600X,MG 3312,F 7914,estado=8,1,0,0,baja,-,1,0
15206,8,BAJA,OK,ARGUS,707,MG 0643,M 9120,estado=8;informe_final,1,1,0,baja,-,1,0
15221,8,EN ESQUIU,EN ESQUIU,MEDIX,OXI-3,MG 1180,,estado=8,1,0,0,baja,-,1,0
15226,8,,bateria Y FUENTE,MEDIX,OXI-3,MG 0366,,estado=8,1,0,0,baja,-,1,0
15227,8,BAJA,en espera,MEDIX,OXI-3,MG 1644,,estado=8;informe_final,1,1,0,baja,-,1,0
15228,8,,BATERIA,MEDIX,OXI-3,MG 0772,,estado=8,1,0,0,baja,-,1,0
15238,8,turbina rota sin reparacion _SE dio de baja - en esquiu,turbina rota sin reparacion _SE dio de baja - en esquiu,PURITAN BENNETT,420,MG 0945,,estado=8;informe_final;reg_desc,1,1,1,baja,-,1,0
15239,8,,FALLA DISPLAY,ELECTROMEDIK,,MG 1163,,estado=8,1,0,0,baja,-,1,0
15243,8,BAJA,controlado sin defecto,NELLCOR,N-595,mg 3499,,estado=8;informe_final,1,1,0,baja,-,1,0
15255,8,,OK.-,MASSIMO,,MG 3507 (EXNV 0239),M 9138 M9139,estado=8,1,0,0,entregado,Taller,0,0
15256,8,BAJA,control de funcionamiento ok - queda de backup para venta,HP,VIRIDIA,mg 2525,,estado=8;informe_final,1,1,0,baja,-,1,0
15262,8,BAJA,ok,NOVAMETRIX,515,mg 2702,M 9143,estado=8;informe_final,1,1,0,baja,-,1,0
15270,8,DE BAJA,turbina rota _dar de baja,PURITAN BENNETT,GOODKNIGHT 420 S,MG 0675,,estado=8;informe_final;reg_desc,1,1,1,baja,-,1,0
15316,8,,controlado sin defecto,MASIMO,RADICAL,mg 3512,,estado=8,1,0,0,baja,-,1,0
15317,8,BAJA,controlado sin defecto,MASIMO,RADICAL,mg 3510,,estado=8;informe_final,1,1,0,baja,-,1,0
15337,8,BAJA,no detecta la placa paciente,VALEYLAB,FORCE 2,mg 3424,,estado=8;informe_final,1,1,0,baja,-,1,0
15346,8,BAJA,VENDIDO A LORANDI,MASIMO,RADICAL,mg 1571,,estado=8;informe_final,1,1,0,baja,-,1,0
15347,8,,controlado sin defecto,RESPIRE,RE-001,ce 0063,,estado=8,1,0,0,baja,-,1,0
15349,8,,controlado sin defecto,HP,VIRIDIA,mg 0505,,estado=8,1,0,0,baja,-,1,0
15393,8,,,NELLCOR,N-600X,mg 3291,,estado=8,1,0,0,baja,-,1,0
15395,8,BAJA,"SE REINICIA EL SISTEMA Y FALLA SENSOR , ROTURA EN FRENTE DISPLAY",MASIMO,RAD 9,mg 3417,,estado=8;informe_final,1,1,0,baja,-,1,0
15445,8,,"falla valvula , todas las conexiones plasticas de jaula de turbina y conector a salidas de aire deteriodadas, se utilizo turbina para mg 0226. dar de baja",RESPIRONICS,SYNCHRONY,mg 0752,,estado=8;reg_desc,1,0,1,baja,-,1,0
15451,8,BAJA,OK,nellcor,n-395,mg 2110,N 9566,estado=8;informe_final,1,1,0,baja,-,1,0
15482,8,SE MANDA A ESQUIU BAJA,cable en corto falta sensor de gotas falla placa principa (F-35) no se repara,argus,404,mg 0354,,estado=8;informe_final,1,1,0,baja,-,1,0
15512,6,BAJA,controlado sin defecto,LIFE CARE,PLV-100,mg 2903,,informe_final,0,1,0,alquilado,-,0,0
15515,8,BAJA,ok,LIFECARE,PLV-100,MG 2495,,estado=8;informe_final,1,1,0,alquilado,-,0,0
15526,8,BAJA,"FUNCIONA OK, FALTA TOMA DE AIRE",RESPIRONICS,SERIE M,MG 1840,,estado=8;informe_final,1,1,0,baja,-,1,0
15530,8,a esquiu irreparable,a esquiu irreparable,VISION AIRE,5,MG 2520,,estado=8,1,0,0,baja,-,1,0
15531,8,BAJA,OK,nellcor,N-560,MG 0325,C 6842,estado=8;informe_final,1,1,0,baja,-,1,0
15544,8,BAJA,"PRESENTA ROTURAS EN CARCAZA POR GOLPE, CABLE ECG ROTO. BATERIA AGOTADA. EQUIPO FUNCIONA BIEN PERO CON RUIDO EN EL MOTOR DE PNI.-",AGILENT,A3,MG 2844,,estado=8;informe_final,1,1,0,baja,-,1,0
15561,8,,incompleto,MEDITECH,G3G,MG 3487,,estado=8,1,0,0,baja,-,1,0
15566,8,EN ESQUIU,"placa, PILA , TURBINA , FRENTE ROTO DAR DE BAJA",PURITAN BENNETT,420,MG 0804,,estado=8;reg_desc,1,0,1,baja,-,1,0
15572,8,,cambio de sensor de gota - cambio de teclado - control de funcionamiento,SAMTRONIC,ST-1000,MG 0042,r0296,estado=8,1,0,0,entregado,Taller,0,0
15583,8,DE BAJA,IRREPARABLE,AIRSEP,NEW LIFE,MG 2987,9622 9621,estado=8;informe_final,1,1,0,baja,-,1,0
15595,8,BAJA,OK,NELLCOR,N-600,MG 2774,,estado=8;informe_final,1,1,0,baja,-,1,0
15603,8,VENDIDO OSYS,ok,ORION,,MG 1409,P 9580,estado=8,1,0,0,baja,-,1,0
15604,8,BAJA,"reemplazo de filtro de aire, controlado ok.-",PURITAN BENNETT,420 G,MG 0951,P 9582,estado=8;informe_final,1,1,0,baja,-,1,0
15607,8,DEPOSITO BLAS PARERA,"se utilizo placa para reparar equipo de cliente , dar de baja",RESPIRE,,MG 2591 (0600189-601-00825),,estado=8;reg_desc,1,0,1,entregado,Taller,0,0
15611,8,BAJA,CHEQUEO,AIRSEP,NEW LIFE,MG 2283,P9601-P9602,estado=8;informe_final,1,1,0,baja,-,1,0
15628,4,DE BAJA,de baja,AIRSEP,NEW LIFE,812037,,informe_final;reg_desc,0,1,1,entregado,Taller,0,0
