access_id,access_estado_num,access_informe_final,access_reg_desc,access_marca,access_modelo,access_numero_serie,access_n_de_control,access_baja_sources,access_baja_from_estado,access_baja_from_informe,access_baja_from_reg_desc,sr_estado,sr_ubicacion,sr_is_baja,sr_missing
15255,8,,OK.-,MASSIMO,,MG 3507 (EXNV 0239),M 9138 M9139,estado=8,1,0,0,entregado,Taller,0,0
15512,6,BAJA,controlado sin defecto,LIFE CARE,PLV-100,mg 2903,,informe_final,0,1,0,alquilado,-,0,0
15515,8,BAJA,ok,LIFECARE,PLV-100,MG 2495,,estado=8;informe_final,1,1,0,alquilado,-,0,0
15572,8,,cambio de sensor de gota - cambio de teclado - control de funcionamiento,SAMTRONIC,ST-1000,MG 0042,r0296,estado=8,1,0,0,entregado,Taller,0,0
15607,8,DEPOSITO BLAS PARERA,"se utilizo placa para reparar equipo de cliente , dar de baja",RESPIRE,,MG 2591 (0600189-601-00825),,estado=8;reg_desc,1,0,1,entregado,Taller,0,0
15628,4,DE BAJA,de baja,AIRSEP,NEW LIFE,812037,,informe_final;reg_desc,0,1,1,entregado,Taller,0,0
15632,8,,controlado sin defecto,LIFECARE,PLV-100,MG 2647,,estado=8,1,0,0,entregado,Taller,0,0
15700,8,,"se le agrego fuente nueva , energy saver v6221, control de funcionamiento ok.-",BREAS,,MG 0453,p 9691 p 9669,estado=8,1,0,0,alquilado,-,0,0
15708,4,DE BAJA,DE BAJA,BCI,ADULTO,F7894,,informe_final;reg_desc,0,1,1,entregado,Taller,0,0
15734,8,BAJA,,LESITUNG,,MG 1814,,estado=8;informe_final,1,1,0,alquilado,-,0,0
15783,8,BAJA,"1691,8 HS OK.-",,,MG 2305,Q912 Q9913,estado=8;informe_final,1,1,0,entregado,Taller,0,0
15805,8,PARA VENTA,OK,RESMED,TANGO,MG 1969,Q 9880,estado=8,1,0,0,entregado,Taller,0,0
15819,8,DE BAJA,ok,NELLCOR,N-595,MG 2273,p9873,estado=8;informe_final,1,1,0,alquilado,-,0,0
15846,4,DESARMADO DE BAJA,DE BAJA,AIRSEP,NEW LIFE,N5123759,,informe_final;reg_desc,0,1,1,entregado,Taller,0,0
