device_id,serial,modelo_actual,modelo_nuevo,serial_access
15808,T0125637,224,324,T0125637
16896,t0124747,224,324,T0124747
18508,T0125614,224,324,T0125614
28132,T9422658,224,324,T9422658
28133,T9218647,224,324,T9218647
28134,T0021949,224,324,T0021949
25375,T9913796,224,324,T9913796
26767,C17191115,224,EPUMP,C17191115
26647,T0615641,224,324,T0615641
26354,T9612780,224,324,T9612780
26332,E7791,224,EPUMP,E7791
25247,C15142563,224,EPUMP,C15142563
26310,C17193315,224,EPUMP,C17193315
26309,C17191033,224,EPUMP,C17191033
25707,T9915068,224,324,T9915068
17915,T0712739,224,324,T0712739
25064,T9023953,224,324,T9023953
25919,T0122515,224,324,T0122515
25709,W1252701X,224,924,W1252701X
25706,T0125644,224,324,T0125644
23548,T9319709,224,324,T9319709
15589,T0614777,224,324,T0614777
15233,T9124890,224,324,T9124890
20324,T0213747,224,324,T0213747
16826,t9420478,224,324,T9420478
25248,T9112899,224,324,T9112899
25246,C17179983,224,EPUMP,C17179983
24794,T90239448,224,324,T90239448
17431,t9117162,224,324,T9117162
17453,T9025196,224,324,T9025196
17822,T0614772,224,324,T0614772
17986,4433,224,324,4433
16422,T0415238,224,324,T0415238
17918,t0214502,224,324,T0214502
23163,T9014897,224,324,T9014897
23162,T9812834,224,324,T9812834
23164,T9813024,224,324,T9813024
17988,T9713159,224,324,T9713159
18760,78941,224,324,78941
22364,W1153785,224,324,W1153785
15204,T9321438,224,324,T9321438
16956,T9017045,224,324,T9017045
18270,T9125551,224,324,T9125551
22247,W1155597,224,924,W1155597
22248,W1153856,224,924,W1153856
15207,74311,224,324,74311
17555,U3325,224,324,U3325
21934,1883,224,324,1883
21935,2300,224,324,2300
19259,T8813660,224,324,T8813660
16279,T9215500,224,324,T9215500
21724,W1155629,224,924,W1155629
21517,T9813021,224,324,T9813021
17692,t9521951,224,324,t9521951
21497,9313929,224,324,9313929
18618,4531,224,324,4531
21171,T9721425,224,324,T9721425
17989,T0313518,224,324,t0313518
20996,V8078,224,EPUMP,V8078
20987,T9023948,224,324,T9023948
20968,C16153226,224,EPUMP,C16153226
20827,T0313433,224,324,T0313433
20759,59417768,224,324,59417768
20222,T9316360,224,324,T9316360
20221,T0119975,224,324,T0119975
20220,T9124204,224,324,T9124204
20219,T9025986,224,324,T9025986
20218,T9029288,224,324,T9029288
20217,T9212924,224,324,T9212924
20134,MG 0654,224,324,MG 0654
19989,T9719021,224,324,T9719021
19990,T9515466,224,324,T9515466
16535,t9212436,224,324,T9212436
19888,t9323512,224,324,t9323512
19595,W1155620,224,924,W1155620
19596,W1155123,224,924,W1155123
18589,T9717762 / VS 45311,224,324,T9717762 / VS 45311
19006,w1252704x,224,924,w1252704x
19002,T9215502,224,324,T9215502
18947,T0125662,224,324,T0125662
18946,t9125672,224,324,t9125672
18218,MG 0031,224,324,mg  0031
18584,9117089,224,324,9117089
18284,42438,224,324,42438
17919,t0217100,224,324,t0217100
18247,ra 0309,224,324,ra 0309
18246,t8915180,224,324,t8915180
16737,T9617940,224,324,T9617940
18204,T9124433,224,324,T9124433
17916,T9124897,224,324,T9124897
17749,t9029292,224,324,t9029292
17689,T0713982,224,324,T0713982
17691,t9319814,224,324,t9319814
17690,t9113003,224,324,t9113003
17636,u3525,224,324,u3525
17501,W1154961,224,324,W1154961
17381,W1050976,224,924,W1050976
16888,t9721300,224,324,t9721300
16554,43445,224,324,43445
15889,T9415874,224,324,T9415874
15827,NM 6131,224,324,NM 6131
15826,T8912441,224,324,T8912441
15825,T9121008,224,324,T9121008
15380,t9315605,224,324,t9315605
15379,t0612697,224,324,t0612697
15381,t0125630,224,324,t0125630
15363,t9715080,224,324,t9715080
