device_id,numero_serie,modelo_actual,modelo_nuevo,mg_key,modelo_excel
18266,mg 3564,JAY,JAY-5,MG3564,JAY-5
19118,mg 3565,JAY,JAY-5,MG3565,JAY-5
20687,MG 4498,JAY,JAY-5,MG4498,JAY-5
20688,MG 4591,JAY,JAY-5,MG4591,JAY-5
21077,MG 4702,,JAY-5,MG4702,JAY-5
21179,MG 4576,JAY,JAY-5,MG4576,JAY-5
21180,MG 4741,JAY,JAY-5,MG4741,JAY-5
21281,mg 4202,JAY,JAY-5,MG4202,JAY-5
21298,MG 4545,JAY,JAY-5,MG4545,JAY-5
21552,mg 5109,JAY-5,JAY-5Q,MG5109,JAY-5Q
21707,MG 4537,JAY,JAY-5,MG4537,JAY-5
21710,mg 4586,JAY,JAY-5,MG4586,JAY-5
21713,mg 4784,JAY,JAY-5,MG4784,JAY-5
21680,MG 5343,JAY,JAY-5Q,MG5343,JAY-5Q
21742,MG 5109,JAY,JAY-5Q,MG5109,JAY-5Q
21770,MG 4390,JAY,JAY-5,MG4390,JAY-5
21786,MG 4542,JAY,JAY-5,MG4542,JAY-5
21828,MG 5109,JAY,JAY-5Q,MG5109,JAY-5Q
21878,MG 5345,JAY,JAY-5Q,MG5345,JAY-5Q
21919,MG 4572,JAY,JAY-5,MG4572,JAY-5
22035,MG 5323,JAY-5,JAY-5Q,MG5323,JAY-5Q
21981,MG 5109,JAY,JAY-5Q,MG5109,JAY-5Q
22155,MG 4582,JAY,JAY-5,MG4582,JAY-5
22192,MG 3561,JAY,JAY-5,MG3561,JAY-5
22197,mg 4199,,JAY-5,MG4199,JAY-5
22227,MG 4741,JAY,JAY-5,MG4741,JAY-5
22245,mg 4804,JAY,JAY-5,MG4804,JAY-5
22246,MG 3561,JAY,JAY-5,MG3561,JAY-5
22269,MG 4542,JAY,JAY-5,MG4542,JAY-5
22298,MG 4929,JAY,JAY-5,MG4929,JAY-5
22305,MG 4804,JAY,JAY-5,MG4804,JAY-5
22306,MG 4390,JAY,JAY-5,MG4390,JAY-5
22373,MG 4718,JAY,JAY-5,MG4718,JAY-5
22376,MG 4700,JAY,JAY-5,MG4700,JAY-5
22431,MG 5466,JAY-5,JAY-5Q,MG5466,JAY-5Q
22450,MG 4928,JAY,JAY-5,MG4928,JAY-5
22452,MG 3562,JAY,JAY-5,MG3562,JAY-5
22526,MG 4574,JAY,JAY-5,MG4574,JAY-5
22543,MG 4741,JAY,JAY-5,MG4741,JAY-5
